n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.113238,151.666660,78.163362,5.000000,75.288832,2.125469,25.915941,1.080539
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.890885,190.548255,78.914389,10.000000,75.288832,6.374443,77.723857,3.240618
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.089045,228.850362,79.659851,15.000000,75.288832,10.628981,129.599624,5.403526
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.283785,267.149050,80.410832,20.000000,75.288832,14.878000,181.408098,7.563628
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.478052,305.447264,81.167389,25.000000,75.288832,19.121443,233.148584,9.720896
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.671865,343.745025,81.929522,30.000000,75.288832,23.359310,284.821081,11.875328
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.865232,382.042339,82.697231,35.000000,75.288832,27.591601,336.425589,14.026927
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.058157,420.339211,83.470516,40.000000,75.288832,31.818316,387.962110,16.175690
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.250646,458.635648,84.249377,45.000000,75.288832,36.039455,439.430644,18.321619
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.442705,496.931655,85.033813,50.000000,75.288832,40.255019,490.831192,20.464713
