n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,42.264049,5.000000,40.956658,3.692608,50.308683,2.097570
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,42.636276,10.000000,40.956658,8.320382,113.358202,4.726356
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,43.009911,15.000000,40.956658,12.946747,176.388532,7.354342
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,43.386841,20.000000,40.956658,17.569816,239.373966,9.980457
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,43.767071,25.000000,40.956658,22.189587,302.314453,12.604697
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,44.150599,30.000000,40.956658,26.806059,365.209992,15.227063
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,44.537427,35.000000,40.956658,31.419231,428.060585,17.847555
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,44.927553,40.000000,40.956658,36.029104,490.866231,20.466174
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,45.320979,45.000000,40.956658,40.635679,553.626931,23.082918
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,45.717704,45.717704,40.956658,40.956658,558.000000,23.265249
