n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,272.671285,264.236501,40.956658,5.000000,5.000000,4.845331,66.013552,66.013552,66.013552,132.027103,2.752369,2.752369,5.504737,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,275.072748,264.236501,40.956658,10.000000,10.000000,9.606059,130.874470,130.874470,130.874470,261.748940,5.456679,5.456679,10.913359,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,277.483296,264.236501,40.956658,15.000000,15.000000,14.283914,194.606309,194.606309,194.606309,389.212618,8.113914,8.113914,16.227829,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,279.915105,264.236501,40.956658,20.000000,20.000000,18.879760,257.220846,257.220846,257.220846,514.441692,10.724564,10.724564,21.449129,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,282.368198,264.236501,40.956658,25.000000,25.000000,23.394676,318.732777,318.732777,318.732777,637.465555,13.289243,13.289243,26.578485,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,284.842576,264.236501,40.956658,30.000000,30.000000,27.829741,379.156802,379.156802,379.156802,758.313604,15.808561,15.808561,31.617123,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,287.338237,264.236501,40.956658,35.000000,35.000000,32.186031,438.507597,438.507597,438.507597,877.015194,18.283133,18.283133,36.566266,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,289.855183,264.236501,40.956658,40.000000,40.000000,36.464623,496.799810,496.799810,496.799810,993.599620,20.713568,20.713568,41.427137,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,292.393413,264.236501,40.956658,45.000000,45.000000,40.666588,554.048049,554.048049,554.048049,1108.096098,23.100476,23.100476,46.200952,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,294.952927,264.236501,40.956658,45.717704,45.717704,40.956658,610.266872,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
