n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,32.024587,5.000000,30.978339,3.953752,53.987308,2.250946
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,32.322158,10.000000,30.978339,8.656182,118.197582,4.928129
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,32.620827,15.000000,30.978339,13.357512,182.392856,7.604687
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,32.922138,20.000000,30.978339,18.056201,246.552049,10.279740
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,33.226095,25.000000,30.978339,22.752244,310.675119,12.953287
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,33.532698,30.000000,30.978339,27.445641,374.762065,15.625327
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,33.841946,33.841946,30.978339,30.978339,423.000000,17.636560
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,34.153839,34.153839,30.978339,30.978339,423.000000,17.636560
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,34.468378,34.468378,30.978339,30.978339,423.000000,17.636560
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,34.785562,34.785562,30.978339,30.978339,423.000000,17.636560
