E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.674717,46.592627,61.279181,17.000000,0.760334,1.000000,0.239666,0.000000,1.000000,0.333333,0.726793,0.276800,0.726793,0.283300,1.343427,17.000000,5.666667,18.333333,1.161745,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.189047,42.078297,61.279181,22.000000,0.686665,1.000000,0.313335,0.000000,1.000000,0.333333,0.685472,0.348178,0.685472,0.283300,1.302106,18.000000,6.000000,18.000000,0.562098,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.552661,37.714683,61.279181,27.000000,0.615457,1.000000,0.384543,0.000000,1.000000,0.333333,0.645531,0.417592,0.645531,0.283300,1.262164,19.000000,6.333333,17.666667,0.018882,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.768889,33.498455,61.279181,32.000000,0.546653,1.000000,0.453347,0.000000,1.000000,0.333333,0.606938,0.485428,0.606938,0.283300,1.223572,19.000000,6.333333,17.666667,0.752139,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,21.842423,29.424921,61.279181,37.000000,0.480178,1.000000,0.519822,0.000000,1.000000,0.333333,0.569652,0.551949,0.569652,0.283300,1.186285,20.000000,6.666667,17.333333,0.274295,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,25.777836,25.489508,61.279181,42.000000,0.415957,1.000000,0.584043,0.000000,1.000000,0.333333,0.533630,0.617344,0.617344,0.283300,1.233978,19.000000,6.333333,17.666667,0.554426,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,29.579569,21.687775,61.279181,47.000000,0.353918,1.000000,0.646082,0.000000,1.000000,0.333333,0.498831,0.681758,0.681758,0.283300,1.298391,18.000000,6.000000,18.000000,0.628959,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,33.251929,18.015415,61.279181,52.000000,0.293989,1.000000,0.706011,0.000000,1.000000,0.333333,0.465217,0.745302,0.745302,0.283300,1.361936,17.000000,5.666667,18.333333,0.847092,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,36.799094,14.468250,61.279181,57.000000,0.236104,1.000000,0.763896,0.000000,1.000000,0.333333,0.432749,0.808068,0.808068,0.283300,1.424702,16.000000,5.333333,18.666667,1.204772,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,50.000000,40.225115,11.042229,61.279181,62.000000,0.180195,1.000000,0.819805,0.000000,1.000000,0.333333,0.371651,0.870130,0.870130,0.283300,1.486764,16.000000,5.333333,18.666667,0.211783,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
