WARNING: 4 open meshes merged
     Merged: wing
     Merged: htail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
18 Num Comps
18 Total Num Meshes
10912 Total Num Tris

1.929652066622171e+01             Total Mass
4.454501270552581e+00 -1.376135631675159e-04 3.731844123715333e-01       Center of Gravity
1.209775086708401e+02 7.636275183408429e+01 1.859950272938882e+02       Ixx, Iyy, Izz
-6.024625792428188e-03 1.472262116781585e-01 1.169431670370505e-01       Ixy, Ixz, Iyz
1.929652066622171e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
fuselage	1.129749091280192e+01	4.495802624203185e+00	-2.344226015915290e-17	4.371271770542360e-17	3.433309114047249e+00	4.705167747492802e+01	4.762616859703203e+01	-1.266706567534573e-02	-2.606053178903799e-03	1.049157656450175e-01	1.129749091280192e+01
wing	3.532268957570180e+00	3.939084674530322e+00	-1.785528436094109e-15	8.027603439455355e-01	3.422340200113644e+01	9.271555570455665e-01	3.510172121596552e+01	-1.465709253979818e-03	2.507486747015344e-04	1.096240167901819e-02	3.532268957570180e+00
htail	4.868288336657250e-01	8.713882500891012e+00	-5.589947153391485e-17	6.399999999999988e-01	7.180229246398074e-01	9.817858529173920e-02	8.146104612695468e-01	-3.521907344053361e-04	-4.777189986357313e-05	3.580008409278417e-04	4.868288336657250e-01
vtail	3.317902300885548e-01	8.737217019636457e+00	5.507152737225842e-17	1.620424265828269e+00	1.248887428090079e-01	1.977165379319971e-01	7.421715752640388e-02	1.448174654440228e-04	4.132961215679120e-02	-6.572013045545861e-05	3.317902300885548e-01
boom_R0	6.435432906679424e-01	3.888335260752490e+00	6.432800121272704e+00	9.570500721280754e-01	2.531840263728691e-02	1.151119409573929e+00	1.159778312942016e+00	3.365926881023948e-04	-1.645349197113250e-03	6.144585258348980e-04	6.435432906679424e-01
boom_R1	6.083902446443668e-01	3.883876007692636e+00	4.154034427843401e+00	9.646609430640324e-01	1.857815234168518e-02	1.145557558035582e+00	1.148519775260072e+00	6.516960722741452e-04	-1.038680925462299e-03	-1.479274698398336e-04	6.083902446443668e-01
boom_R2	5.651447971241825e-01	3.852129444722002e+00	1.875426050498652e+00	9.732321298516877e-01	2.643604800123380e-02	1.126404875396574e+00	1.141063028181478e+00	-7.688342420153701e-04	1.683992071938327e-03	3.876059958292219e-04	5.651447971241825e-01
boom_L0	6.435432906679418e-01	3.888335260752496e+00	-6.432800121272706e+00	9.570500721280760e-01	2.344980459466599e-02	1.151276516644206e+00	1.157752607829116e+00	7.016514703484774e-04	-1.513939633185726e-03	1.289721576322325e-05	6.435432906679418e-01
boom_L1	6.083902446443668e-01	3.883876007692637e+00	-4.154034427843399e+00	9.646609430640337e-01	1.900701095243929e-02	1.145554949965053e+00	1.148951241941357e+00	8.557733102296392e-04	-1.086326635286622e-03	2.902234444921947e-04	6.083902446443668e-01
boom_L2	5.651447971241829e-01	3.852129444721998e+00	-1.875426050498654e+00	9.732321298516839e-01	2.627406092425622e-02	1.126347219752722e+00	1.140958696748353e+00	-9.343353443922885e-04	1.691511231598192e-03	6.012665468853708e-04	5.651447971241829e-01
MeshGeom	1.398506722228783e-02	1.831739595496906e+00	-1.898784555988596e-01	7.695937154421995e-01	5.564577092218854e-02	1.640190052292164e-03	5.719115543042214e-02	5.083319555673849e-04	9.891745270248885e-05	6.684496710597528e-05	1.398506722228783e-02
