WARNING: 4 open meshes merged
     Merged: wing
     Merged: htail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
18 Num Comps
18 Total Num Meshes
10912 Total Num Tris

1.929652066622171e+01             Total Mass
4.454501270552581e+00 -1.376135631675159e-04 3.731844123715333e-01       Center of Gravity
1.209775086708401e+02 7.636275183408429e+01 1.859950272938882e+02       Ixx, Iyy, Izz
-6.024625792428188e-03 1.472262116781585e-01 1.169431670370505e-01       Ixy, Ixz, Iyz
1.929652066622171e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
MeshGeom	4.692299970748706e-20	9.067374227065798e+00	4.536978827315358e-02	6.615673076186218e-01	4.402706309358118e-25	2.348797407712150e-21	2.348357238750868e-21	-3.711390942419616e-26	-3.453749338020743e-24	4.730591609438128e-27	4.692299970748706e-20
MeshGeom	5.815722830645196e-18	3.750240834988503e+00	6.397966469206344e+00	7.834922669381094e-01	1.681889244524776e-19	1.658345539364611e-18	1.811141376783934e-18	2.936339965263604e-19	-4.674046033929619e-20	-1.731974414975260e-20	5.815722830645196e-18
MeshGeom	2.507347209596635e-18	4.442429140303446e+00	3.969930305447176e+00	8.116688197733043e-01	2.404144327720743e-22	7.992535364957888e-19	7.991438925745336e-19	6.279415914556338e-21	-9.394066420349183e-21	-1.049558172100881e-22	2.507347209596635e-18
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	2.378757695930240e-18	3.329153115840851e+00	-6.284224676471190e+00	8.183923237136920e-01	3.268579473617276e-20	3.892652886368984e-19	4.118662783102875e-19	-3.792487619713583e-20	-3.533155688425406e-20	6.275382801851984e-21	2.378757695930240e-18
MeshGeom	2.219085149648391e-18	4.656234787997871e+00	-3.971779357823726e+00	8.090345695247809e-01	1.045719257904027e-22	1.111447715954869e-19	1.110708630920330e-19	-1.221860468443008e-23	-2.947858292512981e-23	3.698925783493869e-23	2.219085149648391e-18
MeshGeom	6.646385192788744e-19	4.166038808372242e+00	-2.120627736554518e+00	9.399225224706721e-01	2.351079487823974e-23	3.328636046673847e-20	3.326974369649800e-20	-2.298308426176373e-23	5.544894632250398e-23	-8.316255506268046e-24	6.646385192788744e-19
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.929652066622171e+01	4.454501270552581e+00	-1.376135631675159e-04	3.731844123715333e-01	1.209775086708401e+02	7.636275183408429e+01	1.859950272938882e+02	-6.024625792428188e-03	1.472262116781585e-01	1.169431670370505e-01	1.929652066622171e+01

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.450641682990757e-01	4.582893797433557e-02	2.450641682990760e-01	1.626459234122348e-18	1.996109060059246e-17	9.646721109820269e-04	2.758993551283472e-03	2.792883835469434e-03	5.215562454818353e-05	-4.358660278038097e-06	9.562385783330826e-06	4.582893797433557e-02
7.351925048972270e-01	3.001974918442656e-01	6.603682250558961e-01	5.018154880392645e-17	2.374646516963684e-17	2.900011012398199e-02	3.595162048838159e-02	4.175365091863373e-02	4.374431430075330e-04	1.119961814890087e-04	-2.467836453664598e-05	3.001974918442656e-01
1.225320841495378e+00	7.742613949268173e-01	1.006276782761160e+00	9.094188419496402e-18	8.040805013268882e-03	2.616958417976001e-01	1.616784118644897e-01	3.135039356528881e-01	4.601822676036278e-04	1.451592770883107e-03	2.738463003680397e-03	7.742613949268173e-01
1.715449178093530e+00	1.662086204022966e+00	1.385090375568961e+00	-1.020376603442402e-03	1.477307388096631e-01	5.704664366002921e+00	6.742512016432395e-01	5.748767253241974e+00	-1.485828919232799e-04	7.809500522658319e-02	8.131701679920687e-03	1.662086204022966e+00
2.205577514691681e+00	2.762783609021782e+00	1.711973763004086e+00	-1.392630205908633e-03	2.224341581032914e-01	1.419821354258960e+01	1.516064668246857e+00	1.440223131273497e+01	-6.724516581403392e-04	1.797740421170147e-01	1.524984976143943e-02	2.762783609021782e+00
2.695705851289832e+00	3.970162158320415e+00	2.011139634393941e+00	-7.035259699403357e-04	2.662621300662557e-01	2.436936619142853e+01	2.765490556255648e+00	2.507097879498010e+01	1.197984804940961e-03	2.986682583846109e-01	2.514239313345933e-02	3.970162158320415e+00
3.185834187887984e+00	5.583348789085303e+00	2.350541957357068e+00	-4.756039907096787e-04	3.186037925354547e-01	3.952864116471437e+01	4.910607567420164e+00	4.141236732629800e+01	1.248273297571155e-03	5.422457414512361e-01	3.416771097977221e-02	5.583348789085303e+00
3.675962524486135e+00	8.326556776330836e+00	2.787205560797979e+00	-3.189148932682662e-04	4.015450780242118e-01	6.678245057746514e+01	8.978873183074972e+00	7.133536050399424e+01	-1.809562010122794e-03	1.155023297149074e+00	4.822334722549858e-02	8.326556776330836e+00
4.166090861084286e+00	1.074601479168272e+01	3.097660660358305e+00	-2.471114191716032e-04	4.286019608183621e-01	8.580592543590487e+01	1.328249439617215e+01	9.342628527703066e+01	-4.836666738781956e-03	1.464582258949217e+00	6.007308906537430e-02	1.074601479168272e+01
4.656219197682437e+00	1.260040621430929e+01	3.327032438864390e+00	-2.107442347845060e-04	4.287162102415084e-01	9.776271998157301e+01	1.774333254359344e+01	1.087910268229539e+02	-6.825841670547856e-03	1.465762639478457e+00	7.024114373367642e-02	1.260040621430929e+01
5.146347534280588e+00	1.396882502486219e+01	3.505256805943176e+00	-1.900992360402487e-04	4.172954095765589e-01	1.063112606429515e+02	2.232039869047006e+01	1.210707416742977e+02	-9.382747145735863e-03	1.203331713652344e+00	7.814420371205823e-02	1.396882502486219e+01
5.636475870878740e+00	1.507472249387178e+01	3.661605274100740e+00	-1.761533565002796e-04	4.038773301221633e-01	1.124707208014601e+02	2.737026544907293e+01	1.316002124686701e+02	-1.001269026332564e-02	8.036080206698537e-01	8.680059168316068e-02	1.507472249387178e+01
6.126604207476891e+00	1.600949733396484e+01	3.805533527168858e+00	-1.658679788760358e-04	3.904489153242621e-01	1.164315279514935e+02	3.303834438946329e+01	1.406830163522380e+02	-9.260705904234409e-03	3.044683479712262e-01	9.632930927492282e-02	1.600949733396484e+01
6.616732544075043e+00	1.681955380419052e+01	3.940925344291235e+00	-1.578795131262101e-04	3.764428632558049e-01	1.185489220700691e+02	3.939579633219626e+01	1.487108969894980e+02	-8.529261197479756e-03	-3.259639533708668e-01	1.049795341025842e-01	1.681955380419052e+01
7.106860880673193e+00	1.750998097419962e+01	4.065759741086765e+00	-1.516542461992703e-04	3.627616352897343e-01	1.192803404511334e+02	4.625265141171067e+01	1.559493371190595e+02	-7.832990775103004e-03	-1.054512922825127e+00	1.124756927183246e-01	1.750998097419962e+01
7.596989217271345e+00	1.803838127557708e+01	4.169200437396651e+00	-1.472118215619042e-04	3.521352185128142e-01	1.194634119268342e+02	5.279014070398197e+01	1.624396498554093e+02	-7.171167074701688e-03	-1.711577415487389e+00	1.162129223393989e-01	1.803838127557708e+01
8.087117553869497e+00	1.850698554453287e+01	4.268403664295830e+00	-1.434843594174790e-04	3.495147006035332e-01	1.196063276785917e+02	5.992501553654505e+01	1.695165513334223e+02	-6.530629124153945e-03	-1.896687820564629e+00	1.165724171552431e-01	1.850698554453287e+01
8.577245890467648e+00	1.895411344233795e+01	4.370049334636628e+00	-1.400995606407103e-04	3.590104344274324e-01	1.200687014187187e+02	6.831714620992432e+01	1.778427490340711e+02	-6.139007411321326e-03	-1.139566825882555e+00	1.167429112697317e-01	1.895411344233795e+01
9.067374227065798e+00	1.925320435695633e+01	4.443020418944926e+00	-1.379231693786144e-04	3.705490910368734e-01	1.207994234101775e+02	7.513773035160287e+01	1.847765849925992e+02	-6.056716160450640e-03	-1.122593848471559e-01	1.169415194604005e-01	1.925320435695633e+01
9.557502563663951e+00	1.929652066622171e+01	4.454501270552579e+00	-1.376135631670605e-04	3.731844123715331e-01	1.209775086708399e+02	7.636275183408475e+01	1.859950272938888e+02	-6.024625792433628e-03	1.472262116781626e-01	1.169431670370494e-01	1.929652066622171e+01
