Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.256997,11.287640,11.287640
wing,45.470007,39.056358,3.792812,3.440526
htail,11.961794,11.740716,0.484836,0.484836
vtail,7.156197,6.786004,0.346770,0.346770
boom_R0,7.024343,6.719284,0.676497,0.676497
boom_R1,7.024343,6.352726,0.676497,0.646126
boom_R2,7.024343,5.950208,0.676497,0.605186
boom_L0,7.024343,6.719284,0.676497,0.676497
boom_L1,7.024343,6.352726,0.676497,0.646126
boom_L2,7.024343,5.950208,0.676497,0.605186
Totals,141.462861,128.884511,19.971038,19.415436

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.256997
wing_S_Surf0,22.735003,19.528179
wing_S_Surf1,22.735003,19.528179
htail_S_Surf0,5.980897,5.870358
htail_S_Surf1,5.980897,5.870358
vtail_S_Surf0,7.156197,6.786004
boom_R0_S_Surf0,7.024343,6.719284
boom_R1_S_Surf0,7.024343,6.352726
boom_R2_S_Surf0,7.024343,5.950208
boom_L0_S_Surf0,7.024343,6.719284
boom_L1_S_Surf0,7.024343,6.352726
boom_L2_S_Surf0,7.024343,5.950208
