Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.692759,11.287640,11.287640
wing,47.727428,42.415585,3.158283,2.911639
htail,9.960612,9.696913,0.368409,0.368409
vtail,9.988132,9.603250,0.571800,0.570305
boom_R0,8.161241,7.978886,0.786565,0.786565
boom_R1,8.161241,7.734501,0.786565,0.773285
boom_R2,8.161241,7.412041,0.786565,0.741046
boom_L0,8.161241,7.978886,0.786565,0.786565
boom_L1,8.161241,7.734501,0.786565,0.773285
boom_L2,8.161241,7.412041,0.786565,0.741046
Totals,151.372426,141.659362,20.105519,19.739801

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.692759
wing_S_Surf0,23.863714,21.207793
wing_S_Surf1,23.863714,21.207793
htail_S_Surf0,4.980306,4.848456
htail_S_Surf1,4.980306,4.848456
vtail_S_Surf0,9.988132,9.603250
boom_R0_S_Surf0,8.161241,7.978886
boom_R1_S_Surf0,8.161241,7.734501
boom_R2_S_Surf0,8.161241,7.412041
boom_L0_S_Surf0,8.161241,7.978886
boom_L1_S_Surf0,8.161241,7.734501
boom_L2_S_Surf0,8.161241,7.412041
