Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.751086,11.287640,11.287640
wing,53.471444,48.298436,3.407129,3.173421
htail,10.745425,10.424752,0.412797,0.412797
vtail,13.036097,12.585923,0.852588,0.848798
boom_R0,9.197022,9.029049,0.886788,0.886788
boom_R1,9.197022,8.799540,0.886788,0.874904
boom_R2,9.197022,8.488005,0.886788,0.843929
boom_L0,9.197022,9.029049,0.886788,0.886788
boom_L1,9.197022,8.799540,0.886788,0.874904
boom_L2,9.197022,8.488005,0.886788,0.843929
Totals,167.163906,157.693386,21.280880,20.933907

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.751086
wing_S_Surf0,26.735722,24.149218
wing_S_Surf1,26.735722,24.149218
htail_S_Surf0,5.372712,5.212376
htail_S_Surf1,5.372712,5.212376
vtail_S_Surf0,13.036097,12.585923
boom_R0_S_Surf0,9.197022,9.029049
boom_R1_S_Surf0,9.197022,8.799540
boom_R2_S_Surf0,9.197022,8.488005
boom_L0_S_Surf0,9.197022,9.029049
boom_L1_S_Surf0,9.197022,8.799540
boom_L2_S_Surf0,9.197022,8.488005
