n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,267.017383,258.399767,82.041926,5.000000,5.000000,4.838632,67.411342,67.411342,67.411342,134.822683,2.810648,2.810648,5.621296,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,269.469187,258.399767,82.041926,10.000000,10.000000,9.589214,133.595980,133.595980,133.595980,267.191959,5.570150,5.570150,11.140300,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,271.930385,258.399767,82.041926,15.000000,15.000000,14.253635,198.580236,198.580236,198.580236,397.160472,8.279603,8.279603,16.559206,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,274.413695,258.399767,82.041926,20.000000,20.000000,18.832862,262.377575,262.377575,262.377575,524.755151,10.939569,10.939569,21.879138,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,276.919144,258.399767,82.041926,25.000000,25.000000,23.328088,325.004615,325.004615,325.004615,650.009231,13.550741,13.550741,27.101481,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,279.446732,258.399767,82.041926,30.000000,30.000000,27.740503,386.477950,386.477950,386.477950,772.955899,16.113809,16.113809,32.227619,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,281.996458,258.399767,82.041926,35.000000,35.000000,32.071296,446.814123,446.814123,446.814123,893.628246,18.629465,18.629465,37.258931,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,284.568322,258.399767,82.041926,40.000000,40.000000,36.321649,506.029621,506.029621,506.029621,1012.059241,21.098396,21.098396,42.196792,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,287.162324,258.399767,82.041926,45.000000,45.000000,40.492741,564.140859,564.140859,564.140859,1128.281717,23.521286,23.521286,47.042571,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,289.778464,258.399767,82.041926,50.000000,50.000000,44.585744,621.164173,621.164173,621.164173,1242.328347,25.898815,25.898815,51.797631,0.000000,0.000000
