iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2314.314518,-89.685482,1590.989629,269.324889,454.000000,44.176015
1,2314.314518,2256.687205,-57.627313,1545.269815,257.417390,454.000000,42.222887
2,2256.687205,2220.151565,-36.535640,1516.198644,249.952920,454.000000,40.998528
3,2220.151565,2197.187849,-22.963716,1497.891681,245.296168,454.000000,40.234704
4,2197.187849,2182.833881,-14.353968,1486.434533,242.399348,454.000000,39.759553
5,2182.833881,2173.892756,-8.941125,1479.292331,240.600426,454.000000,39.464485
6,2173.892756,2168.335414,-5.557342,1474.850953,239.484461,454.000000,39.281439
7,2168.335414,2164.885941,-3.449473,1472.093331,238.792610,454.000000,39.167958
8,2164.885941,2162.746640,-2.139301,1470.382781,238.363859,454.000000,39.097632
9,2162.746640,2161.420579,-1.326061,1469.322361,238.098218,454.000000,39.054060
10,2161.420579,2160.598878,-0.821701,1468.665218,237.933661,454.000000,39.027069
11,2160.598878,2160.089809,-0.509069,1468.258079,237.831730,454.000000,39.010350
12,2160.089809,2159.774465,-0.315344,1468.005869,237.768596,454.000000,38.999994
13,2159.774465,2159.579139,-0.195326,1467.849645,237.729494,454.000000,38.993580
14,2159.579139,2159.458159,-0.120980,1467.752884,237.705275,454.000000,38.989608
15,2159.458159,2159.383229,-0.074930,1467.692953,237.690276,454.000000,38.987148
16,2159.383229,2159.336821,-0.046408,1467.655835,237.680986,454.000000,38.985624
17,2159.336821,2159.308079,-0.028742,1467.632846,237.675233,454.000000,38.984680
18,2159.308079,2159.290279,-0.017801,1467.618609,237.671670,454.000000,38.984096
19,2159.290279,2159.279254,-0.011025,1467.609791,237.669463,454.000000,38.983734
20,2159.279254,2159.272426,-0.006828,1467.604330,237.668096,454.000000,38.983509
21,2159.272426,2159.268197,-0.004229,1467.600948,237.667250,454.000000,38.983371
22,2159.268197,2159.265578,-0.002619,1467.598853,237.666725,454.000000,38.983285
23,2159.265578,2159.263956,-0.001622,1467.597556,237.666401,454.000000,38.983231
24,2159.263956,2159.262952,-0.001005,1467.596752,237.666200,454.000000,38.983198
25,2159.262952,2159.262330,-0.000622,1467.596254,237.666075,454.000000,38.983178
