E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_overlap_hr,t_charge_hr_main,t_charge_hr_abu_raw,t_charge_hr_abu_net,t_charge_hr_total,t_ground_ops_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.675136,62.782319,77.417289,17.000000,0.810960,1.000000,0.189040,0.000000,1.000000,0.433333,0.366045,0.923715,0.276800,0.000000,0.923715,0.283300,0.025000,1.640348,14.000000,6.066667,17.933333,1.035129,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.190046,58.267408,77.417289,22.000000,0.752641,1.000000,0.247359,0.000000,1.000000,0.433333,0.338888,0.882388,0.348178,0.034290,0.882388,0.283300,0.025000,1.599022,15.000000,6.500000,17.500000,0.014677,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.554368,53.903087,77.417289,27.000000,0.696267,1.000000,0.303733,0.000000,1.000000,0.433333,0.312636,0.842440,0.417592,0.129956,0.842440,0.283300,0.025000,1.559073,15.000000,6.500000,17.500000,0.613898,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.771405,49.686050,77.417289,32.000000,0.641795,1.000000,0.358205,0.000000,1.000000,0.433333,0.287271,0.803840,0.485428,0.223157,0.803840,0.283300,0.025000,1.520474,15.000000,6.500000,17.500000,1.192896,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,21.845826,45.611629,77.417289,37.000000,0.589166,1.000000,0.410834,0.000000,1.000000,0.433333,0.262763,0.766546,0.551949,0.314186,0.766546,0.283300,0.025000,1.483179,16.000000,6.933333,17.066667,0.269134,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,25.782184,41.675271,77.417289,42.000000,0.538320,1.000000,0.461680,0.000000,1.000000,0.433333,0.239086,0.730515,0.617344,0.403259,0.730515,0.283300,0.025000,1.447148,16.000000,6.933333,17.066667,0.845626,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,29.584899,37.872556,77.417289,47.000000,0.489200,1.000000,0.510800,0.000000,1.000000,0.433333,0.216212,0.695708,0.681758,0.490546,0.695708,0.283300,0.025000,1.412341,16.000000,6.933333,17.066667,1.402545,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,33.258264,34.199191,77.417289,52.000000,0.441751,1.000000,0.558249,0.000000,1.000000,0.433333,0.194117,0.662084,0.745302,0.576186,0.662084,0.283300,0.025000,1.378717,17.000000,7.366667,16.633333,0.561803,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,36.806440,30.651015,77.417289,57.000000,0.395920,1.000000,0.604080,0.000000,1.000000,0.433333,0.172774,0.629607,0.808068,0.660294,0.660294,0.283300,0.025000,1.376928,17.000000,7.366667,16.633333,0.592229,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,50.000000,40.233466,27.223989,77.417289,62.000000,0.351653,1.000000,0.648347,0.000000,1.000000,0.433333,0.152160,0.598238,0.870130,0.742970,0.742970,0.283300,0.025000,1.459603,16.000000,6.933333,17.066667,0.646349,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
