n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,63.746619,5.000000,59.599479,0.852860,18.287997,0.762500
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,64.859263,10.000000,59.599479,4.740216,101.645108,4.237991
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,65.964329,15.000000,59.599479,8.635149,185.164724,7.720257
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,67.082953,20.000000,59.599479,12.516525,268.393613,11.190402
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,68.215279,25.000000,59.599479,16.384200,351.328707,14.648297
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,69.361306,30.000000,59.599479,20.238173,433.969994,18.093942
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,70.521034,35.000000,59.599479,24.078445,516.317484,21.527338
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,71.694463,40.000000,59.599479,27.905016,598.371185,24.948485
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,72.881592,45.000000,59.599479,31.717887,680.131108,28.357382
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,74.082421,50.000000,59.599479,35.517058,761.597261,31.754032
