rotor_diameter_m,wingspan_m,mtom_input_kg,mtom_sized_kg,wing_area_m2,wing_root_chord_m,disk_loading_kg_p_m2,rotor_rotor_gap_m,rotor_rotor_pass,tippath_vs_airframe_m,wetted_area_m2,wetted_vol_m3
1.5,12.24,3175,3831.9715560199447,25.572544873847384,2.9846574315881638,180.70435997870104,0.4975,True,0.2872,139.20098155584995,21.557643365563194
1.75,13.74,3175,3301.506384461336,22.03250179018075,2.2907571002475304,114.38390437800774,0.5287,True,0.2875,128.88451053306528,19.415436000611205
2.0,15.24,3175,3255.6313586926262,21.72635621005079,2.0365913207771644,86.35830393681914,0.56,True,0.2877,130.65131654379957,19.17729180887993
2.25,16.740000000000002,3175,3330.193881940462,22.223946926419,1.8965648512048985,69.7964533682584,0.5913,True,0.2878,135.34679018994728,19.353032643485093
2.5,18.240000000000002,3175,3471.1712574060048,23.164755125954358,1.8142821997144702,58.928433486365385,0.6225,True,0.2879,141.65936226271523,19.739801213409603
2.75,19.740000000000002,3175,3660.414545954819,24.427664418922973,1.767814764721593,51.35630358163615,0.6538,True,0.288,149.16237453374478,20.274176313811967
3.0,21.240000000000002,3175,3890.5380499045386,25.96338657793437,1.7462595223254216,45.86654532810447,0.685,True,0.288,157.6933857365793,20.933906716955708
