n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,275.289029,266.719278,41.341488,5.000000,5.000000,4.844350,65.385824,65.385824,65.385824,130.771648,2.726196,2.726196,5.452392,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,277.728534,266.719278,41.341488,10.000000,10.000000,9.603597,129.622979,129.622979,129.622979,259.245959,5.404500,5.404500,10.808999,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,280.177105,266.719278,41.341488,15.000000,15.000000,14.279501,192.735234,192.735234,192.735234,385.470468,8.035902,8.035902,16.071803,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,282.647112,266.719278,41.341488,20.000000,20.000000,18.872953,254.734603,254.734603,254.734603,509.469207,10.620903,10.620903,21.241806,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,285.138578,266.719278,41.341488,25.000000,25.000000,23.385057,315.636000,315.636000,315.636000,631.271999,13.160126,13.160126,26.320251,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,287.651503,266.719278,41.341488,30.000000,30.000000,27.816918,375.454322,375.454322,375.454322,750.908645,15.654190,15.654190,31.308381,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,290.185886,266.719278,41.341488,35.000000,35.000000,32.169637,434.204439,434.204439,434.204439,868.408878,18.103717,18.103717,36.207435,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,292.741729,266.719278,41.341488,40.000000,40.000000,36.444313,491.901173,491.901173,491.901173,983.802346,20.509325,20.509325,41.018649,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,295.319030,266.719278,41.341488,45.000000,45.000000,40.642039,548.559298,548.559298,548.559298,1097.118596,22.871628,22.871628,45.743256,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,297.917790,266.719278,41.341488,46.177258,46.177258,41.341488,604.193525,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
