iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,3060.328277,-289.671723,2011.675804,594.652474,454.000000,97.537872
1,3060.328277,2878.782241,-181.546036,1882.652544,542.129698,454.000000,88.922824
2,2878.782241,2768.707808,-110.074433,1803.366711,511.341097,454.000000,83.872723
3,2768.707808,2703.660191,-65.047617,1755.877285,493.782906,454.000000,80.992741
4,2703.660191,2665.643068,-38.017123,1728.018255,483.624814,454.000000,79.326560
5,2665.643068,2643.568699,-22.074370,1711.805795,477.762904,454.000000,78.365060
6,2643.568699,2630.800278,-12.768420,1702.415645,474.384634,454.000000,77.810940
7,2630.800278,2623.431055,-7.369224,1696.991981,472.439074,454.000000,77.491819
8,2623.431055,2619.183407,-4.247647,1693.864359,471.319049,454.000000,77.308107
9,2619.183407,2616.736862,-2.446545,1692.062454,470.674408,454.000000,77.202370
10,2616.736862,2615.328312,-1.408550,1691.024888,470.303424,454.000000,77.141519
11,2615.328312,2614.517567,-0.810745,1690.427625,470.089941,454.000000,77.106503
12,2614.517567,2614.050977,-0.466590,1690.083879,469.967098,454.000000,77.086353
13,2614.050977,2613.782473,-0.268504,1689.886061,469.896412,454.000000,77.074759
14,2613.782473,2613.627967,-0.154506,1689.772229,469.855739,454.000000,77.068088
15,2613.627967,2613.539062,-0.088905,1689.706727,469.832335,454.000000,77.064249
16,2613.539062,2613.487905,-0.051157,1689.669036,469.818869,454.000000,77.062040
17,2613.487905,2613.458469,-0.029436,1689.647349,469.811120,454.000000,77.060769
18,2613.458469,2613.441531,-0.016937,1689.634870,469.806662,454.000000,77.060038
19,2613.441531,2613.431786,-0.009746,1689.627689,469.804096,454.000000,77.059617
20,2613.431786,2613.426178,-0.005608,1689.623558,469.802620,454.000000,77.059375
21,2613.426178,2613.422951,-0.003227,1689.621180,469.801771,454.000000,77.059235
22,2613.422951,2613.421095,-0.001857,1689.619812,469.801282,454.000000,77.059155
23,2613.421095,2613.420026,-0.001068,1689.619025,469.801001,454.000000,77.059109
24,2613.420026,2613.419412,-0.000615,1689.618572,469.800839,454.000000,77.059083
