candidate,depart_taxi_pre,hover_climb_pre,trans_climb_pre,depart_proc_pre,accel_climb_pre,cruise_pre,decel_descend_pre,arrive_proc_pre,trans_descend_pre,hover_descend_pre,arrive_taxi_pre,reserve_hover_climb_pre,reserve_trans_climb_pre,reserve_accel_climb_pre,reserve_cruise_pre,reserve_decel_descend_pre,reserve_trans_descend_pre,reserve_hover_descend_pre,depart_taxi_post,hover_climb_post,trans_climb_post,depart_proc_post,accel_climb_post,cruise_post,decel_descend_post,arrive_proc_post,trans_descend_post,hover_descend_post,arrive_taxi_post,reserve_hover_climb_post,reserve_trans_climb_post,reserve_accel_climb_post,reserve_cruise_post,reserve_decel_descend_post,reserve_trans_descend_post,reserve_hover_descend_post
after_trans_climb,0.004140,0.359594,2.837632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398644,4.381579,41.282822,2.359087,0.398644,0.064042,0.269287,0.003380,0.293576,2.108671,1.571371,3.357338,0.090507,0.065007,0.269287
after_accel_climb,0.004140,0.359594,2.837632,0.554362,5.706885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.883869,2.309528,0.389525,0.065907,0.265321,0.003330,0.289253,2.064245,1.545743,3.324893,0.089696,0.066858,0.265321
mid_accel_50pct,0.004140,0.359594,2.837632,0.554362,2.853442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.065138,2.332000,0.393664,0.065068,0.267129,0.003353,0.291223,2.084441,1.557403,3.339635,0.090070,0.066025,0.267129
