iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2332.766169,-71.233831,1598.032431,280.733739,454.000000,46.047351
1,2332.766169,2284.674410,-48.091759,1561.420823,269.253587,454.000000,44.164320
2,2284.674410,2252.579710,-32.094701,1536.911671,261.668039,454.000000,42.920100
3,2252.579710,2231.328399,-21.251311,1520.648616,256.679783,454.000000,42.101901
4,2231.328399,2217.330809,-13.997590,1509.921322,253.409487,454.000000,41.565491
5,2217.330809,2208.143169,-9.187639,1502.873512,251.269657,454.000000,41.214506
6,2208.143169,2202.126532,-6.016637,1498.255262,249.871270,454.000000,40.985135
7,2202.126532,2198.192427,-3.934106,1495.234270,248.958156,454.000000,40.835362
8,2198.192427,2195.622580,-2.569847,1493.260354,248.362226,454.000000,40.737614
9,2195.622580,2193.944988,-1.677592,1491.971555,247.973433,454.000000,40.673842
10,2193.944988,2192.850322,-1.094666,1491.130487,247.719835,454.000000,40.632246
11,2192.850322,2192.136227,-0.714095,1490.581783,247.554444,454.000000,40.605118
12,2192.136227,2191.670477,-0.465750,1490.223887,247.446590,454.000000,40.587427
13,2191.670477,2191.366740,-0.303737,1489.990480,247.376261,454.000000,40.575891
14,2191.366740,2191.168675,-0.198066,1489.838272,247.330403,454.000000,40.568369
15,2191.168675,2191.039523,-0.129151,1489.739022,247.300502,454.000000,40.563465
16,2191.039523,2190.955311,-0.084212,1489.674306,247.281005,454.000000,40.560267
17,2190.955311,2190.900403,-0.054909,1489.632109,247.268294,454.000000,40.558182
18,2190.900403,2190.864601,-0.035801,1489.604596,247.260005,454.000000,40.556822
19,2190.864601,2190.841258,-0.023343,1489.586657,247.254601,454.000000,40.555936
20,2190.841258,2190.826038,-0.015220,1489.574960,247.251078,454.000000,40.555358
21,2190.826038,2190.816115,-0.009923,1489.567334,247.248781,454.000000,40.554981
22,2190.816115,2190.809644,-0.006470,1489.562362,247.247283,454.000000,40.554736
23,2190.809644,2190.805426,-0.004219,1489.559120,247.246306,454.000000,40.554575
24,2190.805426,2190.802675,-0.002751,1489.557006,247.245669,454.000000,40.554471
25,2190.802675,2190.800882,-0.001793,1489.555628,247.245254,454.000000,40.554403
26,2190.800882,2190.799713,-0.001169,1489.554729,247.244984,454.000000,40.554358
27,2190.799713,2190.798950,-0.000762,1489.554143,247.244807,454.000000,40.554329
