Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.619789,11.287640,11.287640
wing,45.804390,40.308595,3.167432,2.904204
htail,9.989468,9.746636,0.370011,0.370011
vtail,8.794444,8.429298,0.472422,0.471783
boom_R0,7.697160,7.496057,0.741644,0.741644
boom_R1,7.697160,7.230675,0.741644,0.725894
boom_R2,7.697160,6.894503,0.741644,0.692145
boom_L0,7.697160,7.496057,0.741644,0.741644
boom_L1,7.697160,7.230675,0.741644,0.725894
boom_L2,7.697160,6.894503,0.741644,0.692145
Totals,145.500071,135.346790,19.747370,19.353033

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.619789
wing_S_Surf0,22.902195,20.154298
wing_S_Surf1,22.902195,20.154298
htail_S_Surf0,4.994734,4.873318
htail_S_Surf1,4.994734,4.873318
vtail_S_Surf0,8.794444,8.429298
boom_R0_S_Surf0,7.697160,7.496057
boom_R1_S_Surf0,7.697160,7.230675
boom_R2_S_Surf0,7.697160,6.894503
boom_L0_S_Surf0,7.697160,7.496057
boom_L1_S_Surf0,7.697160,7.230675
boom_L2_S_Surf0,7.697160,6.894503
