iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2887.610770,-287.389230,1703.412939,730.197831,454.000000,119.770699
1,2887.610770,2720.478848,-167.131922,1588.807127,677.671721,454.000000,111.155104
2,2720.478848,2626.489450,-93.989398,1523.710253,648.779197,454.000000,106.416008
3,2626.489450,2574.664231,-51.825219,1487.597850,633.066381,454.000000,103.838713
4,2574.664231,2546.404604,-28.259627,1467.837155,624.567449,454.000000,102.444676
5,2546.404604,2531.089584,-15.315020,1457.107039,619.982545,454.000000,101.692637
6,2531.089584,2522.817622,-8.271962,1451.305232,617.512390,454.000000,101.287470
7,2522.817622,2518.357902,-4.459720,1448.175428,616.182474,454.000000,101.069330
8,2518.357902,2515.955870,-2.402032,1446.489161,615.466709,454.000000,100.951927
9,2515.955870,2514.662808,-1.293062,1445.581255,615.081554,454.000000,100.888752
10,2514.662808,2513.966927,-0.695882,1445.092605,614.874322,454.000000,100.854761
11,2513.966927,2513.592485,-0.374442,1444.829658,614.762826,454.000000,100.836473
12,2513.592485,2513.391020,-0.201464,1444.688179,614.702842,454.000000,100.826634
13,2513.391020,2513.282630,-0.108391,1444.612060,614.670570,454.000000,100.821340
14,2513.282630,2513.224316,-0.058314,1444.571107,614.653208,454.000000,100.818492
15,2513.224316,2513.192943,-0.031373,1444.549075,614.643868,454.000000,100.816960
16,2513.192943,2513.176064,-0.016878,1444.537222,614.638843,454.000000,100.816136
17,2513.176064,2513.166984,-0.009080,1444.530845,614.636139,454.000000,100.815693
18,2513.166984,2513.162099,-0.004885,1444.527414,614.634685,454.000000,100.815454
19,2513.162099,2513.159471,-0.002628,1444.525569,614.633902,454.000000,100.815326
20,2513.159471,2513.158057,-0.001414,1444.524576,614.633481,454.000000,100.815257
21,2513.158057,2513.157296,-0.000761,1444.524041,614.633255,454.000000,100.815220
