n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,96.798306,5.000000,93.803958,2.005652,27.325316,1.139302
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,97.650825,10.000000,93.803958,6.153133,83.831254,3.495260
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,98.506570,15.000000,93.803958,10.297388,140.293246,5.849386
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,99.369862,20.000000,93.803958,14.434096,196.652410,8.199224
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,100.240710,25.000000,93.803958,18.563248,252.908631,10.544771
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,101.119114,30.000000,93.803958,22.684844,309.061908,12.886025
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,102.005074,35.000000,93.803958,26.798884,365.112242,15.222988
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,102.898590,40.000000,93.803958,30.905368,421.059634,17.555658
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,103.799662,45.000000,93.803958,35.004296,476.904085,19.884036
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,104.708289,50.000000,93.803958,39.095669,532.645595,22.208122
