n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.845331,99.224241,118.796883,17.000000,0.835243,1.000000,0.164757,0.000000,1.000000,0.433333,0.018337,0.828382,1.360449,0.276800,2.077082,11.000000,12.000000,5.200000,0.000000,0.000000,0.581343,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.606059,94.463512,118.796883,22.000000,0.795168,1.000000,0.204832,0.000000,1.000000,0.433333,0.036354,0.788085,1.316872,0.348178,2.033505,11.000000,12.000000,5.200000,0.000000,0.000000,0.605892,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,14.283914,89.785657,118.796883,27.000000,0.755791,1.000000,0.244209,0.000000,1.000000,0.433333,0.054057,0.748488,1.274054,0.417592,1.990688,12.000000,12.000000,5.200000,0.111750,0.000000,0.629652,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,18.879760,85.189811,118.796883,32.000000,0.717105,1.000000,0.282895,0.000000,1.000000,0.433333,0.071450,0.709586,1.231987,0.485428,1.948620,12.000000,13.000000,5.633333,0.000000,0.000000,0.707217,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,23.394676,80.674895,118.796883,37.000000,0.679099,1.000000,0.320901,0.000000,1.000000,0.433333,0.088537,0.671369,1.190660,0.551949,1.907294,12.000000,13.000000,5.633333,0.000000,0.000000,0.731803,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,27.829741,76.239831,118.796883,42.000000,0.641766,1.000000,0.358234,0.000000,1.000000,0.433333,0.105321,0.633828,1.150065,0.617344,1.866698,12.000000,13.000000,5.633333,0.000000,0.000000,0.755982,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,32.186031,71.883540,118.796883,47.000000,0.605096,1.000000,0.394904,0.000000,1.000000,0.433333,0.121808,0.596953,1.110190,0.681758,1.826824,13.000000,13.000000,5.633333,0.251291,0.000000,0.779830,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,40.000000,36.464623,67.604948,118.796883,52.000000,0.569080,1.000000,0.430920,0.000000,1.000000,0.433333,0.138000,0.560737,1.071027,0.745302,1.787660,13.000000,14.000000,6.066667,0.000000,0.000000,0.865203,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,45.000000,40.666588,63.402983,118.796883,57.000000,0.533709,1.000000,0.466291,0.000000,1.000000,0.433333,0.153902,0.525168,1.032565,0.808068,1.749199,13.000000,14.000000,6.066667,0.000000,0.000000,0.890345,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,50.000000,44.792995,59.276576,118.796883,62.000000,0.498974,1.000000,0.501026,0.000000,1.000000,0.433333,0.169519,0.490240,0.994795,0.870130,1.711428,14.000000,14.000000,6.066667,0.040005,0.000000,0.915282,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,5.000000,17.000000,5.000000,4.845331,99.224241,118.796883,17.000000,0.835243,1.000000,0.164757,0.000000,1.000000,0.433333,0.018337,0.828382,1.360449,0.276800,2.077082,11.000000,12.000000,5.200000,0.000000,0.000000,0.290672,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,10.000000,22.000000,10.000000,9.606059,94.463512,118.796883,22.000000,0.795168,1.000000,0.204832,0.000000,1.000000,0.433333,0.036354,0.788085,1.316872,0.348178,2.033505,11.000000,12.000000,5.200000,0.000000,0.000000,0.302946,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,15.000000,27.000000,15.000000,14.283914,89.785657,118.796883,27.000000,0.755791,1.000000,0.244209,0.000000,1.000000,0.433333,0.054057,0.748488,1.274054,0.417592,1.990688,12.000000,12.000000,5.200000,0.111750,0.000000,0.314826,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,20.000000,32.000000,20.000000,18.879760,85.189811,118.796883,32.000000,0.717105,1.000000,0.282895,0.000000,1.000000,0.433333,0.071450,0.709586,1.231987,0.485428,1.948620,12.000000,13.000000,5.633333,0.000000,0.000000,0.353608,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,25.000000,37.000000,25.000000,23.394676,80.674895,118.796883,37.000000,0.679099,1.000000,0.320901,0.000000,1.000000,0.433333,0.088537,0.671369,1.190660,0.551949,1.907294,12.000000,13.000000,5.633333,0.000000,0.000000,0.365902,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,30.000000,42.000000,30.000000,27.829741,76.239831,118.796883,42.000000,0.641766,1.000000,0.358234,0.000000,1.000000,0.433333,0.105321,0.633828,1.150065,0.617344,1.866698,12.000000,13.000000,5.633333,0.000000,0.000000,0.377991,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,35.000000,47.000000,35.000000,32.186031,71.883540,118.796883,47.000000,0.605096,1.000000,0.394904,0.000000,1.000000,0.433333,0.121808,0.596953,1.110190,0.681758,1.826824,13.000000,13.000000,5.633333,0.251291,0.000000,0.389915,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,40.000000,52.000000,40.000000,36.464623,67.604948,118.796883,52.000000,0.569080,1.000000,0.430920,0.000000,1.000000,0.433333,0.138000,0.560737,1.071027,0.745302,1.787660,13.000000,14.000000,6.066667,0.000000,0.000000,0.432602,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,45.000000,57.000000,45.000000,40.666588,63.402983,118.796883,57.000000,0.533709,1.000000,0.466291,0.000000,1.000000,0.433333,0.153902,0.525168,1.032565,0.808068,1.749199,13.000000,14.000000,6.066667,0.000000,0.000000,0.445173,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,50.000000,62.000000,50.000000,44.792995,59.276576,118.796883,62.000000,0.498974,1.000000,0.501026,0.000000,1.000000,0.433333,0.169519,0.490240,0.994795,0.870130,1.711428,14.000000,14.000000,6.066667,0.040005,0.000000,0.457641,0.000000,109.250000,109.250000,charger_limited,charger_limited
