n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,11.000000,67.062948,13.412590,3.353147,8.060826,91.889510,921.258639,269.837987,143.905216,6.000000,10.786415,60.000000,15.354311,40.000000,8.655363,6.000000,0.000000,0.000000,-35.796089,Insufficient ABU mission energy
1.000000,10.000000,16.000000,97.546106,19.509221,4.877305,8.060826,129.993458,937.423442,272.196948,143.905216,6.000000,10.880711,60.000000,15.623724,40.000000,8.807324,6.000000,0.000000,0.000000,-31.311759,Insufficient ABU mission energy
1.000000,15.000000,21.000000,128.029264,25.605853,6.401463,8.060826,168.097405,953.681701,274.577122,143.905216,6.000000,10.975856,60.000000,15.894695,40.000000,8.960164,6.000000,0.000000,0.000000,-26.830715,Insufficient ABU mission energy
1.000000,20.000000,26.000000,158.512422,31.702484,7.925621,8.060826,206.201353,970.032879,276.978509,143.905216,6.000000,11.071848,60.000000,16.167215,40.000000,9.113879,6.000000,0.000000,0.000000,-22.352942,Insufficient ABU mission energy
1.000000,25.000000,31.000000,188.995580,37.799116,9.449779,8.060826,244.305301,986.476452,279.401110,143.905216,6.000000,11.168688,60.000000,16.441274,40.000000,9.268464,6.000000,0.000000,0.000000,-17.878426,Insufficient ABU mission energy
1.000000,30.000000,36.000000,219.478738,43.895748,10.973937,8.060826,282.409248,1003.011905,281.844923,143.905216,6.000000,11.266376,60.000000,16.716865,40.000000,9.423913,6.000000,0.000000,0.000000,-13.407155,Insufficient ABU mission energy
1.000000,35.000000,41.000000,249.961896,49.992379,12.498095,8.060826,320.513196,1019.638728,284.309951,143.905216,6.000000,11.364912,60.000000,16.993979,40.000000,9.580222,6.000000,0.000000,0.000000,-8.939114,Insufficient ABU mission energy
1.000000,40.000000,46.000000,280.445054,56.089011,14.022253,8.060826,358.617143,1036.356423,286.796191,143.905216,6.000000,11.464297,60.000000,17.272607,40.000000,9.737387,6.000000,0.000000,0.000000,-4.474291,Insufficient ABU mission energy
1.000000,45.000000,51.000000,310.928212,62.185642,15.546411,8.060826,396.721091,1053.164499,289.303645,143.905216,6.000000,11.564529,60.000000,17.552742,40.000000,9.895402,6.000000,0.000000,0.000000,-0.012672,Insufficient ABU mission energy
1.000000,50.000000,56.000000,341.411370,68.282274,17.070569,8.060826,434.825038,1070.062472,291.832312,143.905216,6.000000,11.665609,60.000000,17.834375,40.000000,10.054263,6.000000,14.956802,1.000000,4.445753,feasible
