iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,3060.359579,-289.640421,2011.675804,594.683776,454.000000,97.543006
1,3060.359579,2878.828831,-181.530748,1882.666318,542.162513,454.000000,88.928206
2,2878.828831,2768.760467,-110.068365,1803.386904,511.373563,454.000000,83.878049
3,2768.760467,2703.714614,-65.045853,1755.899899,493.814715,454.000000,80.997959
4,2703.714614,2665.697441,-38.017173,1728.041500,483.655941,454.000000,79.331666
5,2665.697441,2643.622412,-22.075028,1711.828946,477.793467,454.000000,78.370073
6,2643.622412,2630.853248,-12.769165,1702.438473,474.414775,454.000000,77.815883
7,2630.853248,2623.483385,-7.369862,1697.014469,472.468917,454.000000,77.496714
8,2623.483385,2619.235250,-4.248136,1693.886562,471.348688,454.000000,77.312969
9,2619.235250,2616.788355,-2.446895,1692.084443,470.703912,454.000000,77.207209
10,2616.788355,2615.379564,-1.408791,1691.046724,470.332840,454.000000,77.146344
11,2615.379564,2614.568657,-0.810907,1690.449356,470.119301,454.000000,77.111318
12,2614.568657,2614.101961,-0.466696,1690.105540,469.996421,454.000000,77.091163
13,2614.101961,2613.833388,-0.268572,1689.907676,469.925712,454.000000,77.079565
14,2613.833388,2613.678839,-0.154550,1689.793814,469.885025,454.000000,77.072891
15,2613.678839,2613.589905,-0.088933,1689.728293,469.861612,454.000000,77.069051
16,2613.589905,2613.538731,-0.051174,1689.690591,469.848141,454.000000,77.066841
17,2613.538731,2613.509284,-0.029447,1689.668896,469.840389,454.000000,77.065570
18,2613.509284,2613.492340,-0.016944,1689.656412,469.835928,454.000000,77.064838
19,2613.492340,2613.482590,-0.009750,1689.649229,469.833361,454.000000,77.064417
20,2613.482590,2613.476980,-0.005610,1689.645096,469.831885,454.000000,77.064175
21,2613.476980,2613.473752,-0.003228,1689.642717,469.831035,454.000000,77.064035
22,2613.473752,2613.471894,-0.001858,1689.641349,469.830546,454.000000,77.063955
23,2613.471894,2613.470826,-0.001069,1689.640561,469.830264,454.000000,77.063909
24,2613.470826,2613.470211,-0.000615,1689.640108,469.830102,454.000000,77.063883
