WARNING: 4 open meshes merged
     Merged: wing
     Merged: htail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
18 Num Comps
18 Total Num Meshes
10962 Total Num Tris

1.886397706651047e+01             Total Mass
4.425009354761095e+00 7.008691879355888e-03 3.680335182656304e-01       Center of Gravity
1.415349292205616e+02 7.803572127761198e+01 2.080162195071307e+02       Ixx, Iyy, Izz
-5.282891775329561e-01 1.086008884133299e-01 1.907510367710326e-01       Ixy, Ixz, Iyz
1.886397706651047e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
fuselage	1.131504071408356e+01	4.499319611820979e+00	-7.895926728249020e-18	1.342661229315193e-17	3.510271890652110e+00	4.729161550393975e+01	4.794126767435030e+01	4.504236312084813e-03	-8.782597148083896e-04	1.158571961481899e-01	1.131504071408356e+01
wing	2.766221845625233e+00	3.981489987060538e+00	1.888086505933050e-15	8.023332793002099e-01	3.093148414603262e+01	4.797679322730272e-01	3.137122851889001e+01	-7.983337002008704e-03	-1.641136188485328e-03	1.142946868332049e-02	2.766221845625233e+00
htail	3.971463162164628e-01	8.674543354859361e+00	2.429683706259440e-16	6.399999999999992e-01	4.957293066101548e-01	7.103135827341098e-02	5.651792009663171e-01	-2.352434659228255e-04	-2.802701236759072e-04	6.237391378100000e-04	3.971463162164628e-01
vtail	3.813311753956499e-01	8.768296151996811e+00	6.194851979113761e-17	1.665063701345704e+00	1.597549351392811e-01	2.486099437889779e-01	9.054468084911636e-02	1.921857455651915e-04	5.074764580748106e-02	-1.047046985613005e-04	3.813311753956499e-01
boom_R0	6.846326142380571e-01	3.766520586282922e+00	7.120090642440980e+00	9.541936570383894e-01	2.765628328485745e-02	1.320401362841639e+00	1.330356075017639e+00	1.914678438771762e-04	-3.037954627101632e-04	3.218091268385471e-04	6.846326142380571e-01
boom_R1	6.555168885837825e-01	3.755581663555136e+00	4.560195159509687e+00	9.601826451296188e-01	2.186904768863882e-02	1.315190799965100e+00	1.319790168526365e+00	4.499195712316901e-04	9.294903968043272e-04	-4.161983853388625e-04	6.555168885837825e-01
boom_R2	6.208157505022844e-01	3.726303054423497e+00	2.000314880661608e+00	9.666686908688971e-01	2.929134711375930e-02	1.296721879305967e+00	1.312448623238387e+00	-1.154624349719347e-03	3.455115946384643e-03	3.427686146216208e-04	6.208157505022844e-01
boom_L0	6.846326142380583e-01	3.766520586282917e+00	-7.120090642440974e+00	9.541936570383889e-01	2.446523880208290e-02	1.320692525838423e+00	1.326873867538080e+00	3.208918573487611e-04	-2.455777697650536e-04	-4.013337238418300e-04	6.846326142380583e-01
boom_L1	6.555168885837835e-01	3.755581663555124e+00	-4.560195159509688e+00	9.601826451296173e-01	2.441641422715964e-02	1.314939800825313e+00	1.322588534204675e+00	5.214335409897325e-04	8.723668779678453e-04	4.569483931659431e-04	6.555168885837835e-01
boom_L2	6.208147874140322e-01	3.726303087126243e+00	-2.000314512031240e+00	9.666687545429993e-01	2.980440961871608e-02	1.296774704862027e+00	1.312908761391130e+00	-1.165850665640154e-03	3.466759108318338e-03	4.327253402929599e-04	6.208147874140322e-01
MeshGeom	8.230747162960082e-02	6.459489668018401e-01	1.606289744173294e+00	8.311296596956631e-01	3.033568504559195e-01	2.712155596495736e-02	3.293735929180446e-01	-2.430046841370116e-02	-8.302776892346605e-04	9.816293106460162e-04	8.230747162960082e-02
MeshGeom	1.063503366970037e-17	8.812037083116664e+00	2.625829910883105e-02	6.921791967003034e-01	2.721193261977086e-19	1.150107875187637e-18	1.362960813830180e-18	8.252351193903826e-20	-1.960367690387871e-21	-3.702854399169755e-21	1.063503366970037e-17
MeshGeom	1.791193717761448e-18	3.689826323321939e+00	7.340489467415000e+00	9.076603446370535e-01	9.950990508865674e-21	1.060320503973087e-19	1.145363970773226e-19	9.916528168506382e-22	2.958509278333571e-21	-4.687127374925069e-23	1.791193717761448e-18
MeshGeom	1.347552416563071e-18	3.260996726321980e+00	4.763454544664378e+00	8.720985692544732e-01	8.532942227221867e-21	1.167452209264265e-19	1.176547596174661e-19	-1.287521208958148e-20	-1.059075131286241e-20	4.058460455714206e-21	1.347552416563071e-18
MeshGeom	1.969164108094070e-18	3.220898324944866e+00	2.218290296985445e+00	8.854113435365314e-01	1.826284022827786e-21	1.293025268408915e-19	1.299345164756577e-19	-5.895445155410099e-21	-2.956821201517068e-21	6.851443002235606e-22	1.969164108094070e-18
MeshGeom	1.119624913874482e-17	3.580043515792403e+00	-7.331101715729552e+00	8.594067914298268e-01	2.644012626746517e-20	1.154462004305214e-18	1.136541097885584e-18	-4.247318333452059e-20	9.540979834861392e-20	-9.716366884349021e-21	1.119624913874482e-17
MeshGeom	6.965066051460520e-18	3.322646017455611e+00	-4.768112358540190e+00	8.555146620263607e-01	8.426242346475517e-21	6.581975188371386e-19	6.524948984203843e-19	-1.509474089396117e-20	3.253862939665496e-20	-3.096322922137110e-21	6.965066051460520e-18
MeshGeom	2.745392600728798e-18	3.211200055369987e+00	-2.232931166712948e+00	9.168481546852212e-01	2.914804099210266e-22	1.398417878568346e-19	1.396357776803884e-19	-8.848352428568055e-23	2.134751860395361e-22	-1.031026631183159e-22	2.745392600728798e-18
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.886397706651047e+01	4.425009354761095e+00	7.008691879355888e-03	3.680335182656304e-01	1.415349292205616e+02	7.803572127761198e+01	2.080162195071307e+02	-5.282891775329561e-01	1.086008884133299e-01	1.907510367710326e-01	1.886397706651047e+01

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.470148392745021e-01	8.403340971574552e-02	2.470148392745022e-01	7.993542875435018e-01	3.691680774243896e-01	8.776148256407965e-02	1.952318978828868e-02	7.678397665462512e-02	-2.469066891023128e-04	-8.672129563572120e-05	3.142772693220644e-02	8.403340971574552e-02
7.410445178235063e-01	3.807515499239421e-01	6.320101661641638e-01	3.528414598264886e-01	1.629537808073258e-01	2.754199663969642e-01	8.973998540040601e-02	2.563662459664010e-01	-1.894797773164251e-02	-8.642210389346689e-03	9.057947644960138e-02	3.807515499239421e-01
1.235074196372511e+00	9.593349040393255e-01	9.957234094487861e-01	1.400396588727210e-01	1.661971835939889e-01	3.055450531300505e+00	3.174269472475119e-01	3.034578135911713e+00	-6.822762431547555e-02	-7.801553033685193e-03	9.230506147763223e-02	9.593349040393255e-01
1.729103874921515e+00	1.914479647456997e+00	1.361611078953101e+00	7.010450729032104e-02	2.377596470355577e-01	1.122544995922738e+01	8.952317084336312e-01	1.123875119438268e+01	-1.169233223379953e-01	4.245983884945252e-02	8.752236657837137e-02	1.914479647456997e+00
