n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,abu,1.000000,4.000000,6.293060,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,7.696447,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,7.761447,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,7.903718,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,7.903718,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,8.217171,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,9.620559,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,9.685559,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,9.827830,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,9.827830,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,10.141283,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,7.000000,11.544671,abu_attach
1.000000,after_accel_climb,abu,1.000000,7.000000,11.609671,abu_detach
1.000000,after_accel_climb,abu,1.000000,7.000000,11.751942,abu_return_done
1.000000,after_accel_climb,abu,1.000000,7.000000,11.751942,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,7.000000,12.065395,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,8.000000,13.468783,abu_attach
1.000000,after_accel_climb,abu,1.000000,8.000000,13.533783,abu_detach
1.000000,after_accel_climb,abu,1.000000,8.000000,13.676054,abu_return_done
1.000000,after_accel_climb,abu,1.000000,8.000000,13.676054,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,8.000000,13.989507,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,9.000000,15.392895,abu_attach
1.000000,after_accel_climb,abu,1.000000,9.000000,15.457895,abu_detach
1.000000,after_accel_climb,abu,1.000000,9.000000,15.600166,abu_return_done
1.000000,after_accel_climb,abu,1.000000,9.000000,15.600166,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,9.000000,15.913619,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,10.000000,17.317007,abu_attach
1.000000,after_accel_climb,abu,1.000000,10.000000,17.382007,abu_detach
1.000000,after_accel_climb,abu,1.000000,10.000000,17.524277,abu_return_done
1.000000,after_accel_climb,abu,1.000000,10.000000,17.524277,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,10.000000,17.837731,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,11.000000,19.241119,abu_attach
1.000000,after_accel_climb,abu,1.000000,11.000000,19.306119,abu_detach
1.000000,after_accel_climb,abu,1.000000,11.000000,19.448389,abu_return_done
1.000000,after_accel_climb,abu,1.000000,11.000000,19.448389,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,11.000000,19.761843,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,12.000000,21.165231,abu_attach
1.000000,after_accel_climb,abu,1.000000,12.000000,21.230231,abu_detach
1.000000,after_accel_climb,abu,1.000000,12.000000,21.372501,abu_return_done
1.000000,after_accel_climb,abu,1.000000,12.000000,21.372501,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,12.000000,21.685955,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,13.000000,23.089342,abu_attach
1.000000,after_accel_climb,abu,1.000000,13.000000,23.154342,abu_detach
1.000000,after_accel_climb,abu,1.000000,13.000000,23.296613,abu_return_done
1.000000,after_accel_climb,abu,1.000000,13.000000,23.296613,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,13.000000,23.610066,abu_charge_done
