Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.733137,11.287640,11.287640
wing,50.317462,45.104948,3.245168,3.007536
htail,10.234630,9.944988,0.383715,0.383715
vtail,11.398845,10.985344,0.697122,0.694592
boom_R0,8.665233,8.492900,0.835337,0.835337
boom_R1,8.665233,8.259324,0.835337,0.823179
boom_R2,8.665233,7.944754,0.835337,0.791827
boom_L0,8.665233,8.492900,0.835337,0.835337
boom_L1,8.665233,8.259324,0.835337,0.823179
boom_L2,8.665233,7.944754,0.835337,0.791827
Totals,158.671140,149.162375,20.625666,20.274176

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.733137
wing_S_Surf0,25.158731,22.552474
wing_S_Surf1,25.158731,22.552474
htail_S_Surf0,5.117315,4.972494
htail_S_Surf1,5.117315,4.972494
vtail_S_Surf0,11.398845,10.985344
boom_R0_S_Surf0,8.665233,8.492900
boom_R1_S_Surf0,8.665233,8.259324
boom_R2_S_Surf0,8.665233,7.944754
boom_L0_S_Surf0,8.665233,8.492900
boom_L1_S_Surf0,8.665233,8.259324
boom_L2_S_Surf0,8.665233,7.944754
