n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.113238,151.666660,47.511063,5.000000,45.763800,3.252736,39.660755,1.653615
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.890885,190.548255,47.967570,10.000000,45.763800,7.796230,95.059770,3.963421
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.089045,228.850362,48.420694,15.000000,45.763800,12.343106,150.500027,6.274947
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.283785,267.149050,48.877172,20.000000,45.763800,16.886627,205.899381,8.584768
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.478052,305.447264,49.337040,25.000000,45.763800,21.426759,261.257409,10.892865
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.671865,343.745025,49.800298,30.000000,45.763800,25.963502,316.574110,13.199239
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.865232,382.042339,50.266944,35.000000,45.763800,30.496855,371.849484,15.503890
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.058157,420.339211,50.736980,40.000000,45.763800,35.026820,427.083533,17.806818
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.250646,458.635648,51.210405,45.000000,45.763800,39.553394,482.276257,20.108023
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.442705,496.931655,51.687220,50.000000,45.763800,44.076580,537.427656,22.407506
