iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,2884.163767,-465.836233,2011.675804,418.487963,454.000000,68.642488
1,2884.163767,2615.772296,-268.391471,1805.699686,356.072610,454.000000,58.404810
2,2615.772296,2469.238671,-146.533625,1690.615879,324.622792,454.000000,53.246253
3,2469.238671,2391.186860,-78.051811,1628.857910,308.328950,454.000000,50.573656
4,2391.186860,2350.168278,-41.018582,1596.264570,299.903709,454.000000,49.191706
5,2350.168278,2328.765524,-21.402754,1579.218679,295.546846,454.000000,48.477071
6,2328.765524,2317.639818,-11.125706,1570.346900,293.292919,454.000000,48.107371
7,2317.639818,2311.867699,-5.772119,1565.741170,292.126529,454.000000,47.916054
8,2311.867699,2308.876115,-2.991584,1563.353302,291.522813,454.000000,47.817029
9,2308.876115,2307.326449,-1.549666,1562.116149,291.210300,454.000000,47.765769
10,2307.326449,2306.523928,-0.802521,1561.475411,291.048518,454.000000,47.739233
11,2306.523928,2306.108388,-0.415540,1561.143625,290.964763,454.000000,47.725495
12,2306.108388,2305.893240,-0.215148,1560.971837,290.921403,454.000000,47.718383
13,2305.893240,2305.781850,-0.111390,1560.882895,290.898955,454.000000,47.714701
14,2305.781850,2305.724181,-0.057669,1560.836847,290.887334,454.000000,47.712795
15,2305.724181,2305.694324,-0.029857,1560.813007,290.881317,454.000000,47.711808
16,2305.694324,2305.678867,-0.015457,1560.800665,290.878202,454.000000,47.711297
17,2305.678867,2305.670864,-0.008003,1560.794275,290.876590,454.000000,47.711033
18,2305.670864,2305.666721,-0.004143,1560.790967,290.875755,454.000000,47.710896
19,2305.666721,2305.664576,-0.002145,1560.789254,290.875322,454.000000,47.710825
20,2305.664576,2305.663466,-0.001110,1560.788367,290.875099,454.000000,47.710788
21,2305.663466,2305.662891,-0.000575,1560.787908,290.874983,454.000000,47.710769
