n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.598154,152.151576,35.304977,5.000000,33.958109,3.653132,45.505328,1.897299
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,23.395393,191.052763,35.656123,10.000000,33.958109,8.301986,103.413891,4.311738
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.597997,229.359314,36.004602,15.000000,33.958109,12.953507,161.355673,6.727562
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.797027,267.662292,36.355728,20.000000,33.958109,17.602381,219.264480,9.142012
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.995573,305.964785,36.709529,25.000000,33.958109,22.248579,277.139966,11.555072
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,24.193655,344.266815,37.066006,30.000000,33.958109,26.892103,334.982130,13.966743
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,24.391281,382.568388,37.425157,35.000000,33.958109,31.532952,392.790972,16.377024
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.588455,420.869510,37.786984,37.786984,33.958109,33.958109,423.000000,17.636560
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.785184,459.170187,38.151485,38.151485,33.958109,33.958109,423.000000,17.636560
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.981473,497.470423,38.518661,38.518661,33.958109,33.958109,423.000000,17.636560
