n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,17.636344,63.361081,269.489201,264.878388,67.543989,5.000000,5.000000,4.914453,66.793029,66.793029,66.793029,133.586058,2.784868,2.784868,5.569736,0.000000,0.000000
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,17.908257,101.736942,272.311196,264.878388,67.543989,10.000000,10.000000,9.727047,132.201689,132.201689,132.201689,264.403378,5.512016,5.512016,11.024033,0.000000,0.000000
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,18.072383,140.005015,275.147326,264.878388,67.543989,15.000000,15.000000,14.440176,196.258494,196.258494,196.258494,392.516989,8.182801,8.182801,16.365601,0.000000,0.000000
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,18.235631,178.272211,278.005421,264.878388,67.543989,20.000000,20.000000,19.055628,258.987755,258.987755,258.987755,517.975511,10.798234,10.798234,21.596468,0.000000,0.000000
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,18.398466,216.538993,280.885514,264.878388,67.543989,25.000000,25.000000,23.575298,320.415242,320.415242,320.415242,640.830484,13.359391,13.359391,26.718782,0.000000,0.000000
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,18.560894,254.805369,283.787605,264.878388,67.543989,30.000000,30.000000,28.001053,380.566304,380.566304,380.566304,761.132607,15.867329,15.867329,31.734658,0.000000,0.000000
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,18.722922,293.071345,286.711694,264.878388,67.543989,35.000000,35.000000,32.334724,439.465855,439.465855,439.465855,878.931711,18.323087,18.323087,36.646174,0.000000,0.000000
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,18.884555,331.336925,289.657781,264.878388,67.543989,40.000000,40.000000,36.578115,497.138380,497.138380,497.138380,994.276760,20.727685,20.727685,41.455369,0.000000,0.000000
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,19.045797,369.602115,292.625865,264.878388,67.543989,45.000000,45.000000,40.732994,553.607932,553.607932,553.607932,1107.215865,23.082126,23.082126,46.164252,0.000000,0.000000
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,19.206656,407.866921,295.615946,264.878388,67.543989,50.000000,50.000000,44.801100,608.898142,608.898142,608.898142,1217.796283,25.387396,25.387396,50.774791,0.000000,0.000000
