n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.341667,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.624967,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.525093,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.525093,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,1.866759,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,2.150059,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,3.050185,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,3.050185,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,3.391852,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,3.675152,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,4.575278,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,4.575278,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,4.916945,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,5.200245,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,6.100371,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,6.100371,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,6.442037,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,6.725337,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,7.625464,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,7.625464,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,7.967130,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,8.250430,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,9.150556,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.065000,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.520724,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.525093,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.590093,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.732363,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.732363,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,2.045817,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.050185,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.115185,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.257456,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.257456,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,3.570909,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,4.575278,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,4.640278,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,4.782549,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,4.782549,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,5.096002,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.100371,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.165371,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.307641,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.307641,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,6.621095,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,7.625464,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,7.690464,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,7.832734,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,7.832734,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,8.146187,abu_charge_done
