n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,59.279555,5.000000,57.342883,3.063328,41.828836,1.744011
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,59.830377,10.000000,57.342883,7.512506,102.581036,4.277013
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,60.383232,15.000000,57.342883,11.959651,163.305469,6.808857
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,60.940979,20.000000,57.342883,16.401904,223.963114,9.337917
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,61.503623,25.000000,57.342883,20.839260,284.553892,11.864188
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,62.071164,30.000000,57.342883,25.271719,345.077805,14.387672
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,62.643601,35.000000,57.342883,29.699282,405.534851,16.908368
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,63.220936,40.000000,57.342883,34.121947,465.925032,19.426276
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,63.803167,45.000000,57.342883,38.539716,526.248347,21.941395
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,64.390295,50.000000,57.342883,42.952588,586.504799,24.453728
