iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2711.390333,-463.609667,1710.074299,547.316034,454.000000,89.773512
1,2711.390333,2453.804430,-257.585903,1526.426182,473.378248,454.000000,77.645867
2,2453.804430,2318.462564,-135.341866,1428.076683,436.385881,454.000000,71.578194
3,2318.462564,2249.425435,-69.037128,1377.432957,417.992478,454.000000,68.561216
4,2249.425435,2214.756849,-34.668587,1351.868771,408.888078,454.000000,67.067867
5,2214.756849,2197.485973,-17.270876,1339.098883,404.387089,454.000000,66.329592
6,2197.485973,2188.916663,-8.569310,1332.754099,402.162564,454.000000,65.964715
7,2188.916663,2184.673333,-4.243330,1329.610134,401.063199,454.000000,65.784391
8,2184.673333,2182.574220,-2.099113,1328.054326,400.519895,454.000000,65.695276
9,2182.574220,2181.536332,-1.037889,1327.284938,400.251394,454.000000,65.651235
10,2181.536332,2181.023281,-0.513050,1326.904582,400.118700,454.000000,65.629470
11,2181.023281,2180.769700,-0.253581,1326.716578,400.053122,454.000000,65.618713
12,2180.769700,2180.644372,-0.125328,1326.623659,400.020714,454.000000,65.613398
13,2180.644372,2180.582433,-0.061939,1326.577736,400.004697,454.000000,65.610770
14,2180.582433,2180.551822,-0.030611,1326.555040,399.996782,454.000000,65.609472
15,2180.551822,2180.536694,-0.015128,1326.543824,399.992870,454.000000,65.608830
16,2180.536694,2180.529218,-0.007476,1326.538281,399.990937,454.000000,65.608513
17,2180.529218,2180.525523,-0.003695,1326.535541,399.989981,454.000000,65.608357
18,2180.525523,2180.523697,-0.001826,1326.534188,399.989509,454.000000,65.608279
19,2180.523697,2180.522794,-0.000902,1326.533518,399.989276,454.000000,65.608241
