iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2332.739803,-71.260197,1598.032431,280.707372,454.000000,46.043027
1,2332.739803,2284.631529,-48.108274,1561.407340,269.224189,454.000000,44.159498
2,2284.631529,2252.526799,-32.104730,1536.889891,261.636907,454.000000,42.914994
3,2252.526799,2231.269560,-21.257238,1520.621866,256.647694,454.000000,42.096638
4,2231.269560,2217.268559,-14.001002,1509.891667,253.376892,454.000000,41.560145
5,2217.268559,2208.079012,-9.189547,1502.842201,251.236811,454.000000,41.209118
6,2208.079012,2202.061347,-6.017665,1498.223034,249.838312,454.000000,40.979729
7,2202.061347,2198.126715,-3.934632,1495.201555,248.925160,454.000000,40.829949
8,2198.126715,2195.556619,-2.570095,1493.227393,248.329226,454.000000,40.732201
9,2195.556619,2193.878927,-1.677692,1491.938481,247.940446,454.000000,40.668432
10,2193.878927,2192.784237,-1.094690,1491.097372,247.686865,454.000000,40.626838
11,2192.784237,2192.070152,-0.714085,1490.548660,247.521492,454.000000,40.599713
12,2192.070152,2191.604427,-0.465725,1490.190774,247.413653,454.000000,40.582025
13,2191.604427,2191.300717,-0.303710,1489.957380,247.343337,454.000000,40.570491
14,2191.300717,2191.102677,-0.198040,1489.805188,247.297489,454.000000,40.562971
15,2191.102677,2190.973547,-0.129130,1489.705951,247.267596,454.000000,40.558067
16,2190.973547,2190.889352,-0.084195,1489.641246,247.248105,454.000000,40.554870
17,2190.889352,2190.834456,-0.054896,1489.599058,247.235398,454.000000,40.552786
18,2190.834456,2190.798665,-0.035792,1489.571552,247.227113,454.000000,40.551427
19,2190.798665,2190.775329,-0.023336,1489.553618,247.221711,454.000000,40.550541
20,2190.775329,2190.760114,-0.015215,1489.541925,247.218189,454.000000,40.549963
21,2190.760114,2190.750195,-0.009920,1489.534302,247.215893,454.000000,40.549587
22,2190.750195,2190.743727,-0.006467,1489.529332,247.214396,454.000000,40.549341
23,2190.743727,2190.739511,-0.004217,1489.526091,247.213420,454.000000,40.549181
24,2190.739511,2190.736761,-0.002749,1489.523978,247.212783,454.000000,40.549077
25,2190.736761,2190.734969,-0.001792,1489.522601,247.212368,454.000000,40.549009
26,2190.734969,2190.733800,-0.001169,1489.521703,247.212098,454.000000,40.548964
27,2190.733800,2190.733039,-0.000762,1489.521117,247.211921,454.000000,40.548935
