n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,69.531178,5.000000,67.380308,2.849130,38.817000,1.618436
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,70.143551,10.000000,67.380308,7.236757,98.594728,4.110808
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,70.758240,15.000000,67.380308,11.622067,158.340889,6.601864
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,71.378352,20.000000,67.380308,16.001956,218.013188,9.089841
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,72.003890,25.000000,67.380308,20.376417,277.611542,11.574734
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,72.634857,30.000000,67.380308,24.745451,337.135950,14.056544
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,73.271251,35.000000,67.380308,29.109057,396.586413,16.535272
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,73.913072,40.000000,67.380308,33.467236,455.962933,19.010916
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,74.560320,45.000000,67.380308,37.819988,515.265508,21.483477
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,75.212996,50.000000,67.380308,42.167312,574.494140,23.952955
