n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,11.000000,67.062948,13.412590,3.353147,22.113238,105.941923,682.028749,303.088317,143.905216,6.000000,12.115553,60.000000,11.367146,20.000000,3.085705,6.000000,0.000000,0.000000,-27.568404,Insufficient ABU mission energy
1.000000,10.000000,16.000000,97.546106,19.509221,4.877305,22.113238,144.045870,693.339481,305.948376,143.905216,6.000000,12.229880,60.000000,11.555658,20.000000,3.136878,6.000000,0.000000,0.000000,-22.922416,Insufficient ABU mission energy
1.000000,15.000000,21.000000,128.029264,25.605853,6.401463,22.113238,182.149818,704.712058,308.830116,143.905216,6.000000,12.345074,60.000000,11.745201,20.000000,3.188331,6.000000,0.000000,0.000000,-18.278606,Insufficient ABU mission energy
1.000000,20.000000,26.000000,158.512422,31.702484,7.925621,22.113238,220.253766,716.146142,311.733537,143.905216,6.000000,12.461134,60.000000,11.935769,20.000000,3.240063,6.000000,0.000000,0.000000,-13.636966,Insufficient ABU mission energy
1.000000,25.000000,31.000000,188.995580,37.799116,9.449779,22.113238,258.357713,727.641407,314.658639,143.905216,6.000000,12.578061,60.000000,12.127357,20.000000,3.292071,6.000000,0.000000,0.000000,-8.997489,Insufficient ABU mission energy
1.000000,30.000000,36.000000,219.478738,43.895748,10.973937,22.113238,296.461661,739.197528,317.605422,143.905216,6.000000,12.695855,60.000000,12.319959,20.000000,3.344354,6.000000,0.000000,0.000000,-4.360168,Insufficient ABU mission energy
1.000000,35.000000,41.000000,249.961896,49.992379,12.498095,22.113238,334.565608,750.814185,320.573886,143.905216,6.000000,12.814515,60.000000,12.513570,20.000000,3.396912,6.000000,1.318586,1.000000,0.275004,feasible
1.000000,40.000000,46.000000,280.445054,56.089011,14.022253,22.113238,372.669556,762.491066,323.564030,143.905216,6.000000,12.934042,60.000000,12.708184,20.000000,3.449741,6.000000,23.172620,1.000000,4.908032,feasible
1.000000,45.000000,51.000000,310.928212,62.185642,15.546411,22.113238,410.773503,774.227861,326.575856,143.905216,6.000000,13.054436,60.000000,12.903798,20.000000,3.502842,6.000000,44.354032,1.000000,9.538924,feasible
1.000000,50.000000,56.000000,341.411370,68.282274,17.070569,22.113238,448.877451,786.024266,329.609362,143.905216,6.000000,13.175696,60.000000,13.100404,20.000000,3.556213,6.000000,64.888165,1.000000,14.167687,feasible
