iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2439.692685,35.692685,1598.597648,387.095037,454.000000,63.493263
1,2439.692685,2465.975778,26.283093,1617.227196,394.748581,454.000000,64.748636
2,2465.975778,2485.452169,19.476391,1631.006980,400.445188,454.000000,65.683022
3,2485.452169,2499.951500,14.499331,1641.251764,404.699735,454.000000,66.380874
4,2499.951500,2510.782575,10.831075,1648.897151,407.885423,454.000000,66.903407
5,2510.782575,2518.894017,8.111442,1654.618645,410.275372,454.000000,67.295418
6,2518.894017,2524.980234,6.086217,1658.909293,412.070941,454.000000,67.589936
7,2524.980234,2529.553353,4.573119,1662.131933,413.421420,454.000000,67.811448
8,2529.553353,2532.993200,3.439847,1664.555228,414.437972,454.000000,67.978188
9,2532.993200,2535.582678,2.589479,1666.379041,415.203637,454.000000,68.103777
10,2535.582678,2537.533180,1.950501,1667.752577,415.780603,454.000000,68.198413
11,2537.533180,2539.003041,1.469861,1668.787514,416.215527,454.000000,68.269752
12,2539.003041,2540.111077,1.108036,1669.567612,416.543465,454.000000,68.323542
13,2540.111077,2540.946570,0.835493,1670.155787,416.790783,454.000000,68.364108
14,2540.946570,2541.576680,0.630109,1670.599351,416.977329,454.000000,68.394706
15,2541.576680,2542.051963,0.475283,1670.933911,417.118052,454.000000,68.417788
16,2542.051963,2542.410501,0.358539,1671.186284,417.224217,454.000000,68.435202
17,2542.410501,2542.680994,0.270493,1671.376678,417.304316,454.000000,68.448340
18,2542.680994,2542.885075,0.204081,1671.520324,417.364751,454.000000,68.458253
19,2542.885075,2543.039057,0.153982,1671.628706,417.410352,454.000000,68.465733
20,2543.039057,2543.155243,0.116186,1671.710483,417.444760,454.000000,68.471377
21,2543.155243,2543.242913,0.087669,1671.772188,417.470724,454.000000,68.475636
22,2543.242913,2543.309066,0.066153,1671.818750,417.490316,454.000000,68.478849
23,2543.309066,2543.358984,0.049918,1671.853884,417.505100,454.000000,68.481274
24,2543.358984,2543.396653,0.037668,1671.880396,417.516256,454.000000,68.483104
25,2543.396653,2543.425077,0.028425,1671.900403,417.524675,454.000000,68.484485
26,2543.425077,2543.446527,0.021449,1671.915499,417.531027,454.000000,68.485527
27,2543.446527,2543.462713,0.016186,1671.926892,417.535821,454.000000,68.486313
28,2543.462713,2543.474927,0.012214,1671.935488,417.539438,454.000000,68.486906
29,2543.474927,2543.484144,0.009217,1671.941976,417.542168,454.000000,68.487354
30,2543.484144,2543.491099,0.006955,1671.946871,417.544228,454.000000,68.487692
31,2543.491099,2543.496348,0.005249,1671.950565,417.545783,454.000000,68.487947
32,2543.496348,2543.500309,0.003961,1671.953353,417.546956,454.000000,68.488139
33,2543.500309,2543.503298,0.002989,1671.955456,417.547841,454.000000,68.488285
34,2543.503298,2543.505553,0.002255,1671.957044,417.548509,454.000000,68.488394
35,2543.505553,2543.507255,0.001702,1671.958242,417.549013,454.000000,68.488477
36,2543.507255,2543.508539,0.001284,1671.959146,417.549394,454.000000,68.488539
37,2543.508539,2543.509509,0.000969,1671.959828,417.549681,454.000000,68.488586
