E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.663055,47.254477,63.493263,17.000000,0.744244,1.000000,0.255756,0.000000,1.000000,0.347500,0.739899,0.276800,0.739899,0.283300,1.370699,17.000000,5.907500,18.092500,0.698113,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.160827,42.756705,63.493263,22.000000,0.673405,1.000000,0.326595,0.000000,1.000000,0.347500,0.698730,0.348178,0.698730,0.283300,1.329530,18.000000,6.255000,17.745000,0.068465,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.503646,38.413886,63.493263,27.000000,0.605007,1.000000,0.394993,0.000000,1.000000,0.347500,0.658979,0.417592,0.658979,0.283300,1.289779,18.000000,6.255000,17.745000,0.783987,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.695123,34.222409,63.493263,32.000000,0.538993,1.000000,0.461007,0.000000,1.000000,0.347500,0.620613,0.485428,0.620613,0.283300,1.251413,19.000000,6.602500,17.397500,0.223161,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,21.740290,30.177242,63.493263,37.000000,0.475283,1.000000,0.524717,0.000000,1.000000,0.347500,0.583586,0.551949,0.583586,0.283300,1.214386,19.000000,6.602500,17.397500,0.926668,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,25.644046,26.273486,63.493263,42.000000,0.413800,1.000000,0.586200,0.000000,1.000000,0.347500,0.547854,0.617344,0.617344,0.283300,1.248144,19.000000,6.602500,17.397500,0.285260,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,29.411131,22.506401,63.493263,47.000000,0.354469,1.000000,0.645531,0.000000,1.000000,0.347500,0.513372,0.681758,0.681758,0.283300,1.312558,18.000000,6.255000,17.745000,0.373959,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,33.046138,18.871394,63.493263,52.000000,0.297219,1.000000,0.702781,0.000000,1.000000,0.347500,0.480100,0.745302,0.745302,0.283300,1.376102,17.000000,5.907500,18.092500,0.606259,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,36.553509,15.364023,63.493263,57.000000,0.241979,1.000000,0.758021,0.000000,1.000000,0.347500,0.447996,0.808068,0.808068,0.283300,1.438868,16.000000,5.560000,18.440000,0.978105,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,45.980607,36.727049,15.190483,63.493263,62.000000,0.239246,0.935171,0.760754,0.064829,1.000000,0.347500,0.446407,0.833339,0.833339,0.283300,1.464139,16.000000,5.560000,18.440000,0.573769,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
