n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,21.395125,150.948547,39.380887,5.000000,36.727049,2.346161,50.018834,2.085485
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.436394,190.093764,40.091411,10.000000,36.727049,6.635637,141.468048,5.898368
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.704194,228.465511,40.796814,15.000000,36.727049,10.930235,233.026458,9.715804
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.965842,266.831107,41.510929,20.000000,36.727049,15.216120,324.399108,13.525494
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.226613,305.195825,42.233853,25.000000,36.727049,19.493196,415.583956,17.327355
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.486557,343.559716,42.965586,30.000000,36.727049,23.761462,506.580997,21.121385
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.745688,381.922796,43.706129,35.000000,36.727049,28.020920,597.390234,24.907585
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.004022,420.285076,44.455480,40.000000,36.727049,32.271569,688.011676,28.685955
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.261570,458.646572,45.213639,45.000000,36.727049,36.513409,778.445327,32.456495
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.518346,497.007295,45.980607,45.980607,36.727049,36.727049,783.000000,32.646397
