Component,Mass_kg
Wing,209.551
Horizontal Tail,18.538
Vertical Tail,11.988
Fuselage,123.719
Boom,153.164
Landing Gear,96.194
EPU,392.089
Lift Rotor + Hub,0.000
Tilt Rotor,140.631
Actuators,69.600
Furnishings,67.000
ECS,40.000
Avionics,60.000
High-Volt Power Dist.,80.000
Low-Volt Power & Comms,60.000
Total Empty Mass,1598.598
