n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.598154,152.151576,95.398554,5.000000,91.759145,1.360591,16.948236,0.706640
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,23.395393,191.052763,96.347395,10.000000,91.759145,5.411750,67.411594,2.810659
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.597997,229.359314,97.289030,15.000000,91.759145,9.470115,117.964713,4.918420
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.797027,267.662292,98.237818,20.000000,91.759145,13.521327,168.428733,7.022467
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.995573,305.964785,99.193834,25.000000,91.759145,17.565311,218.802714,9.122759
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,24.193655,344.266815,100.157079,30.000000,91.759145,21.602066,269.086653,11.219297
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,24.391281,382.568388,101.127552,35.000000,91.759145,25.631593,319.280552,13.312081
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.588455,420.869510,102.105254,40.000000,91.759145,29.653891,369.384412,15.401112
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.785184,459.170187,103.090183,45.000000,91.759145,33.668962,419.398235,17.486388
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.981473,497.470423,104.082341,50.000000,91.759145,37.676804,469.322021,19.567910
