n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,31.374543,5.000000,30.361973,3.987430,55.552482,2.316205
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,31.662629,10.000000,30.361973,8.699343,121.198388,5.053245
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,31.951820,15.000000,30.361973,13.410152,186.828917,7.789644
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,32.243609,20.000000,30.361973,18.118363,252.423247,10.524533
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,32.537999,25.000000,30.361973,22.823973,317.981337,13.257912
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,32.834991,30.000000,30.361973,27.526982,383.503186,15.989780
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,33.134584,33.134584,30.361973,30.361973,423.000000,17.636560
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,33.436778,33.436778,30.361973,30.361973,423.000000,17.636560
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,33.741573,33.741573,30.361973,30.361973,423.000000,17.636560
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,34.048970,34.048970,30.361973,30.361973,423.000000,17.636560
