n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.598154,152.151576,36.328995,5.000000,34.930488,3.601493,43.613238,1.818410
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,23.395393,191.052763,36.693448,10.000000,34.930488,8.237040,99.748623,4.158919
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.597997,229.359314,37.055072,15.000000,34.930488,12.875416,155.918264,6.500855
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.797027,267.662292,37.419383,20.000000,34.930488,17.511105,212.055365,8.841435
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.995573,305.964785,37.786410,25.000000,34.930488,22.144078,268.159576,11.180644
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,24.193655,344.266815,38.156154,30.000000,34.930488,26.774334,324.230895,13.518481
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,24.391281,382.568388,38.528613,35.000000,34.930488,31.401875,380.269324,15.854947
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.588455,420.869510,38.903789,38.903789,34.930488,34.930488,423.000000,17.636560
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.785184,459.170187,39.281680,39.281680,34.930488,34.930488,423.000000,17.636560
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.981473,497.470423,39.662287,39.662287,34.930488,34.930488,423.000000,17.636560
