E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_overlap_hr,t_charge_hr_main,t_charge_hr_abu_raw,t_charge_hr_abu_net,t_charge_hr_total,t_ground_ops_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.809252,48.071198,68.637354,17.000000,0.700365,1.000000,0.299635,0.000000,1.000000,0.247500,0.165859,0.763284,0.276800,0.160941,0.763284,0.283300,0.050000,1.294084,18.000000,4.455000,19.545000,0.706491,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.523781,43.356670,68.637354,22.000000,0.631677,1.000000,0.368323,0.000000,1.000000,0.247500,0.149546,0.720130,0.348178,0.248632,0.720130,0.283300,0.050000,1.250930,19.000000,4.702500,19.297500,0.232325,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,14.147404,38.733047,68.637354,27.000000,0.564314,1.000000,0.435686,0.000000,1.000000,0.247500,0.133548,0.677809,0.417592,0.334044,0.677809,0.283300,0.050000,1.208609,19.000000,4.702500,19.297500,1.036433,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,18.681023,34.199428,68.637354,32.000000,0.498263,1.000000,0.501737,0.000000,1.000000,0.247500,0.117861,0.636311,0.485428,0.417567,0.636311,0.283300,0.050000,1.167111,20.000000,4.950000,19.050000,0.657778,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,23.126222,29.754229,68.637354,37.000000,0.433499,1.000000,0.566501,0.000000,1.000000,0.247500,0.102480,0.595623,0.551949,0.499469,0.595623,0.283300,0.050000,1.126423,21.000000,5.197500,18.802500,0.345121,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,27.484571,25.395880,68.637354,42.000000,0.370001,1.000000,0.629999,0.000000,1.000000,0.247500,0.087399,0.555729,0.617344,0.579945,0.579945,0.283300,0.050000,1.110745,21.000000,5.197500,18.802500,0.674358,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,31.757617,21.122834,68.637354,47.000000,0.307745,1.000000,0.692255,0.000000,1.000000,0.247500,0.072614,0.516617,0.681758,0.659144,0.659144,0.283300,0.050000,1.189944,20.000000,4.950000,19.050000,0.201124,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,37.786984,33.958109,18.922342,68.637354,52.000000,0.275686,0.957442,0.724314,0.042558,1.000000,0.247500,0.065000,0.496475,0.725046,0.710046,0.710046,0.283300,0.050000,1.240846,19.000000,4.702500,19.297500,0.423927,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,38.151485,33.958109,18.922342,68.637354,57.000000,0.275686,0.879851,0.724314,0.120149,1.000000,0.247500,0.065000,0.496475,0.745382,0.730382,0.730382,0.283300,0.050000,1.261182,19.000000,4.702500,19.297500,0.037546,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,38.518661,33.958109,18.922342,68.637354,62.000000,0.275686,0.814817,0.724314,0.185183,1.000000,0.247500,0.065000,0.496475,0.765038,0.750038,0.750038,0.283300,0.050000,1.280838,18.000000,4.455000,19.545000,0.944919,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
