iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2433.605832,29.605832,1598.032431,381.573401,454.000000,62.587577
1,2433.605832,2455.183605,21.577774,1613.357018,387.826588,454.000000,63.613256
2,2455.183605,2470.991148,15.807543,1624.566138,392.425010,454.000000,64.367512
3,2470.991148,2482.614782,11.623634,1632.799172,395.815611,454.000000,64.923656
4,2482.614782,2491.185237,8.570455,1638.864648,398.320590,454.000000,65.334535
5,2491.185237,2497.517159,6.331922,1643.343171,400.173988,454.000000,65.638538
6,2497.517159,2502.202139,4.684980,1646.655356,401.546784,454.000000,65.863711
7,2502.202139,2505.672326,3.470187,1649.107904,402.564422,454.000000,66.030629
8,2505.672326,2508.244781,2.572455,1650.925543,403.319238,454.000000,66.154438
9,2508.244781,2510.152882,1.908101,1652.273523,403.879359,454.000000,66.246312
10,2510.152882,2511.568829,1.415947,1653.273688,404.295141,454.000000,66.314511
11,2511.568829,2512.619907,1.051078,1654.016052,404.603855,454.000000,66.365147
12,2512.619907,2513.400328,0.780420,1654.567213,404.833114,454.000000,66.402752
13,2513.400328,2513.979890,0.579562,1654.976499,405.003391,454.000000,66.430681
14,2513.979890,2514.410348,0.430457,1655.280476,405.129872,454.000000,66.451427
15,2514.410348,2514.730092,0.319745,1655.506263,405.223829,454.000000,66.466839
16,2514.730092,2514.967617,0.237525,1655.673987,405.293630,454.000000,66.478288
17,2514.967617,2515.144074,0.176457,1655.798587,405.345486,454.000000,66.486793
18,2515.144074,2515.275168,0.131095,1655.891155,405.384013,454.000000,66.493113
19,2515.275168,2515.372565,0.097397,1655.959927,405.412638,454.000000,66.497808
20,2515.372565,2515.444928,0.072363,1656.011023,405.433905,454.000000,66.501296
21,2515.444928,2515.498692,0.053764,1656.048985,405.449706,454.000000,66.503888
22,2515.498692,2515.538638,0.039946,1656.077191,405.461446,454.000000,66.505814
23,2515.538638,2515.568317,0.029680,1656.098148,405.470170,454.000000,66.507245
24,2515.568317,2515.590369,0.022052,1656.113719,405.476651,454.000000,66.508308
25,2515.590369,2515.606754,0.016385,1656.125288,405.481466,454.000000,66.509098
26,2515.606754,2515.618928,0.012174,1656.133884,405.485044,454.000000,66.509684
27,2515.618928,2515.627974,0.009045,1656.140271,405.487703,454.000000,66.510120
28,2515.627974,2515.634695,0.006721,1656.145016,405.489678,454.000000,66.510444
29,2515.634695,2515.639688,0.004994,1656.148542,405.491146,454.000000,66.510685
30,2515.639688,2515.643399,0.003710,1656.151162,405.492237,454.000000,66.510864
31,2515.643399,2515.646155,0.002757,1656.153109,405.493047,454.000000,66.510997
32,2515.646155,2515.648204,0.002048,1656.154555,405.493649,454.000000,66.511096
33,2515.648204,2515.649726,0.001522,1656.155630,405.494096,454.000000,66.511169
34,2515.649726,2515.650857,0.001131,1656.156428,405.494429,454.000000,66.511224
35,2515.650857,2515.651697,0.000840,1656.157021,405.494676,454.000000,66.511264
