n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,21.395125,150.948547,38.568744,5.000000,35.974991,2.406247,52.372245,2.183608
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.436394,190.093764,39.263438,10.000000,35.974991,6.711553,146.077749,6.090565
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.704194,228.465511,39.953224,15.000000,35.974991,11.021767,239.890083,10.001976
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.965842,266.831107,40.651627,20.000000,35.974991,15.323364,333.514857,13.905566
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.226613,305.195825,41.358741,25.000000,35.974991,19.616250,426.950033,17.801252
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.486557,343.559716,42.074567,30.000000,35.974991,23.900424,520.195603,21.689032
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.745688,381.922796,42.799104,35.000000,35.974991,28.175887,613.251574,25.568908
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.004022,420.285076,43.532351,40.000000,35.974991,32.442640,706.117953,29.440878
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.261570,458.646572,44.274309,44.274309,35.974991,35.974991,783.000000,32.646397
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.518346,497.007295,45.024978,45.024978,35.974991,35.974991,783.000000,32.646397
