iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2415.670795,11.670795,1590.989629,370.681167,454.000000,60.800978
1,2415.670795,2423.771752,8.100956,1596.981772,372.789980,454.000000,61.146876
2,2423.771752,2429.405365,5.633613,1601.146817,374.258548,454.000000,61.387758
3,2429.405365,2433.328226,3.922861,1604.046082,375.282144,454.000000,61.555654
4,2433.328226,2436.062307,2.734082,1606.066279,375.996028,454.000000,61.672749
5,2436.062307,2437.969056,1.906748,1607.474934,376.494122,454.000000,61.754448
6,2437.969056,2439.299406,1.330350,1608.457648,376.841758,454.000000,61.811469
7,2439.299406,2440.227882,0.928477,1609.143448,377.084434,454.000000,61.851274
8,2440.227882,2440.876022,0.648140,1609.622157,377.253865,454.000000,61.879065
9,2440.876022,2441.328535,0.452513,1609.956365,377.372170,454.000000,61.898470
10,2441.328535,2441.644500,0.315965,1610.189717,377.454783,454.000000,61.912021
11,2441.644500,2441.865137,0.220637,1610.352663,377.512474,454.000000,61.921483
12,2441.865137,2442.019214,0.154077,1610.466452,377.552762,454.000000,61.928092
13,2442.019214,2442.126815,0.107601,1610.545916,377.580899,454.000000,61.932707
14,2442.126815,2442.201961,0.075145,1610.601412,377.600549,454.000000,61.935930
15,2442.201961,2442.254441,0.052480,1610.640168,377.614273,454.000000,61.938181
16,2442.254441,2442.291093,0.036652,1610.667236,377.623857,454.000000,61.939753
17,2442.291093,2442.316691,0.025598,1610.686140,377.630551,454.000000,61.940851
18,2442.316691,2442.334568,0.017877,1610.699342,377.635226,454.000000,61.941618
19,2442.334568,2442.347054,0.012486,1610.708563,377.638491,454.000000,61.942154
20,2442.347054,2442.355774,0.008720,1610.715003,377.640772,454.000000,61.942528
21,2442.355774,2442.361864,0.006090,1610.719500,377.642364,454.000000,61.942789
22,2442.361864,2442.366118,0.004253,1610.722641,377.643476,454.000000,61.942971
23,2442.366118,2442.369088,0.002971,1610.724835,377.644253,454.000000,61.943099
24,2442.369088,2442.371163,0.002075,1610.726367,377.644796,454.000000,61.943188
25,2442.371163,2442.372612,0.001449,1610.727437,377.645175,454.000000,61.943250
26,2442.372612,2442.373624,0.001012,1610.728185,377.645439,454.000000,61.943293
27,2442.373624,2442.374331,0.000707,1610.728707,377.645624,454.000000,61.943324
