n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,21.395125,150.948547,181.061551,168.859993,53.613048,5.000000,5.000000,4.663055,99.413707,99.413707,99.413707,198.827414,4.144955,4.144955,8.289909,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.436394,190.093764,184.328328,168.859993,53.613048,10.000000,10.000000,9.160827,195.303675,195.303675,195.303675,390.607351,8.142990,8.142990,16.285981,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.704194,228.465511,187.571556,168.859993,53.613048,15.000000,15.000000,13.503646,287.890131,287.890131,287.890131,575.780263,12.003289,12.003289,24.006579,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.965842,266.831107,190.854845,168.859993,53.613048,20.000000,20.000000,17.695123,377.250051,377.250051,377.250051,754.500102,15.729061,15.729061,31.458123,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.226613,305.195825,194.178634,168.859993,53.613048,25.000000,25.000000,21.740290,463.490746,463.490746,463.490746,926.981491,19.324780,19.324780,38.649561,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.486557,343.559716,197.542926,168.859993,53.613048,30.000000,30.000000,25.644046,546.716616,546.716616,546.716616,1093.433232,22.794799,22.794799,45.589599,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.745688,381.922796,200.947719,168.859993,53.613048,35.000000,35.000000,29.411131,627.028766,627.028766,627.028766,1254.057531,26.143334,26.143334,52.286667,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.004022,420.285076,204.393011,168.859993,53.613048,40.000000,40.000000,33.046138,704.525067,704.525067,704.525067,1409.050135,29.374464,29.374464,58.748928,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.261570,458.646572,207.878802,168.859993,53.613048,45.000000,45.000000,36.553509,779.300238,779.300238,779.300238,1558.600476,32.492140,32.492140,64.984279,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.518346,497.007295,211.405090,168.859993,53.613048,50.000000,50.000000,39.937542,851.445913,851.445913,851.445913,1702.891825,35.500181,35.500181,71.000362,0.000000,0.000000
