iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3200.000000,2763.643419,-436.356581,1927.721022,381.922397,454.000000,62.644821
1,2763.643419,2523.235046,-240.408374,1735.029824,334.205222,454.000000,54.818011
2,2523.235046,2395.983259,-127.251786,1632.135654,309.847606,454.000000,50.822754
3,2395.983259,2330.099500,-65.883760,1578.589215,297.510285,454.000000,48.799124
4,2330.099500,2296.384512,-33.714988,1551.110700,291.273811,454.000000,47.776187
5,2296.384512,2279.235105,-17.149407,1537.112839,288.122266,454.000000,47.259255
6,2279.235105,2270.538747,-8.696358,1530.009183,286.529564,454.000000,46.998012
7,2270.538747,2266.135776,-4.402971,1526.411192,285.724584,454.000000,46.865975
8,2266.135776,2263.908317,-2.227459,1524.590610,285.317707,454.000000,46.799237
9,2263.908317,2262.781899,-1.126417,1523.669856,285.112043,454.000000,46.765503
10,2262.781899,2262.212390,-0.569509,1523.204305,285.008085,454.000000,46.748451
11,2262.212390,2261.924480,-0.287910,1522.968944,284.955536,454.000000,46.739832
12,2261.924480,2261.778937,-0.145543,1522.849964,284.928973,454.000000,46.735475
13,2261.778937,2261.705365,-0.073572,1522.789819,284.915546,454.000000,46.733272
14,2261.705365,2261.668174,-0.037190,1522.759416,284.908758,454.000000,46.732159
15,2261.668174,2261.649375,-0.018799,1522.744047,284.905327,454.000000,46.731596
16,2261.649375,2261.639872,-0.009503,1522.736279,284.903593,454.000000,46.731312
17,2261.639872,2261.635068,-0.004804,1522.732352,284.902717,454.000000,46.731168
18,2261.635068,2261.632640,-0.002428,1522.730367,284.902273,454.000000,46.731095
19,2261.632640,2261.631413,-0.001227,1522.729363,284.902049,454.000000,46.731059
20,2261.631413,2261.630792,-0.000620,1522.728856,284.901936,454.000000,46.731040
