iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2881.053748,-293.946252,1702.792913,724.260835,454.000000,118.796883
1,2881.053748,2711.474180,-169.579568,1586.220114,671.254066,454.000000,110.102448
2,2711.474180,2616.900910,-94.573271,1520.526869,642.374041,454.000000,105.365402
3,2616.900910,2565.188961,-51.711949,1484.379841,626.809120,454.000000,102.812366
4,2565.188961,2537.224393,-27.964567,1464.761975,618.462419,454.000000,101.443298
5,2537.224393,2522.193287,-15.031106,1454.196202,613.997085,454.000000,100.710872
6,2522.193287,2514.140480,-8.052807,1448.529504,611.610975,454.000000,100.319490
7,2514.140480,2509.833862,-4.306618,1445.497190,610.336671,454.000000,100.110473
8,2509.833862,2507.532874,-2.300987,1443.876541,609.656333,454.000000,99.998880
9,2507.532874,2506.304100,-1.228774,1443.010935,609.293165,454.000000,99.939311
10,2506.304100,2505.648087,-0.656013,1442.548767,609.099320,454.000000,99.907516
11,2505.648087,2505.297908,-0.350179,1442.302050,608.995858,454.000000,99.890546
12,2505.297908,2505.110997,-0.186911,1442.170360,608.940637,454.000000,99.881488
13,2505.110997,2505.011236,-0.099761,1442.100071,608.911165,454.000000,99.876654
14,2505.011236,2504.957992,-0.053245,1442.062556,608.895435,454.000000,99.874074
15,2504.957992,2504.929574,-0.028418,1442.042534,608.887040,454.000000,99.872697
16,2504.929574,2504.914407,-0.015167,1442.031848,608.882559,454.000000,99.871962
17,2504.914407,2504.906312,-0.008095,1442.026144,608.880168,454.000000,99.871570
18,2504.906312,2504.901992,-0.004320,1442.023100,608.878892,454.000000,99.871360
19,2504.901992,2504.899686,-0.002306,1442.021476,608.878211,454.000000,99.871249
20,2504.899686,2504.898456,-0.001231,1442.020608,608.877847,454.000000,99.871189
21,2504.898456,2504.897799,-0.000657,1442.020146,608.877653,454.000000,99.871157
